OTU,fungi.Grass.BOGR.1,fungi.mock2,fungi.Ecotone.LATR.8,fungi.SPEGAR.PLJA.4B,fungi.SPEGAR.BOER.4A,fungi.Ecotone.PLJA.8,fungi.Ecotone.PLJA.1,fungi.SPEGAR.PLJA.3A,fungi.Grass.BOER.4,fungi.SPEGAR.ARPU.2A,fungi.SPEGAR.PLJA.2B,fungi.Grass.BOER.7,fungi.SPEGAR.BOER.1A,fungi.SPEGAR.BOGR.3B,fungi.Ecotone.LATR.5,fungi.SPEGAR.BOER.2B,fungi.Grass.PLJA.6,fungi.Shrub.LATR.8,fungi.SPEGAR.PLJA.1A,fungi.SPEGAR.BOER.4B,fungi.Grass.BOGR.7,fungi.Ecotone.BOER.4,fungi.Ecotone.BOER.7,fungi.Ecotone.PLJA.5,fungi.Ecotone.LATR.4,fungi.SPEGAR.ARPU.1A,fungi.SPEGAR.BOGR.2B,fungi.SPEGAR.BOGR.1B,fungi.SPEGAR.ARPU.1B,fungi.Grass.PLJA.5,fungi.Grass.PLJA.1,fungi.Grass.BOGR.4,fungi.SPEGAR.ARPU.4A,fungi.Ecotone.PLJA.3,fungi.Shrub.LATR.3,fungi.Grass.BOGR.5,fungi.SPEGAR.PLJA.4A,fungi.SPEGAR.BOER.2A,fungi.Ecotone.BOER.3,fungi.Ecotone.BOER.8,fungi.Ecotone.LATR.6,fungi.Grass.BOER.6,fungi.Grass.PLJA.2,fungi.Shrub.LATR.7,fungi.Shrub.LATR.5,fungi.SPEGAR.ARPU.3B,fungi.SPEGAR.BOER.1B,fungi.Grass.BOER.5,fungi.Ecotone.LATR.2,fungi.SPEGAR.BOGR.4B,fungi.Ecotone.LATR.3,fungi.SPEGAR.ARPU.2B,fungi.Shrub.LATR.6,fungi.Ecotone.BOER.2,fungi.Ecotone.LATR.7,fungi.Ecotone.PLJA.7,fungi.SPEGAR.ARPU.4B,fungi.SPEGAR.BOGR.3A,fungi.SPEGAR.PLJA.3B,fungi.Grass.BOGR.3,fungi.Shrub.LATR.2,fungi.SPEGAR.PLJA.2A,fungi.Shrub.LATR.4,fungi.Ecotone.BOER.1,fungi.Ecotone.BOER.5,fungi.Grass.PLJA.7,fungi.SPEGAR.BOER.3B,fungi.Grass.BOER.2,fungi.SPEGAR.BOGR.2A,fungi.Grass.BOGR.8,fungi.Grass.BOGR.6,fungi.Ecotone.BOER.6,fungi.Grass.PLJA.8,fungi.SPEGAR.PLJA.1B,fungi.Grass.BOGR.2,fungi.mock1,fungi.Grass.BOER.8,fungi.Grass.PLJA.3,fungi.SPEGAR.BOGR.4A,fungi.Shrub.LATR.1,fungi.SPEGAR.BOGR.1A,fungi.Grass.BOER.3,fungi.Ecotone.LATR.1,fungi.Ecotone.PLJA.6,fungi.Ecotone.PLJA.2,fungi.Grass.BOER.1,fungi.SPEGAR.BOER.3A,fungi.Ecotone.PLJA.4,fungi.Grass.PLJA.4,fungi.SPEGAR.ARPU.3A
OTU390,6.04617288,0,0,2.253739166,0,2.075283473,0,4.336340143,0,0,0,0,0,0,2.325986005,2.424563657,0,0,0,0,8.950701069,0,0,0,0,0,3.569260897,0,0,0,0,0,0,0,0,0,3.705020132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.549103276,4.276005778,2.7839874,0,0,8.939598223,0,0,0,0,0,0,7.64512447,0,6.322410001,3.034821384,0,0,3.14980771,0,0
OTU4,3.57639363,31.24573123,0,2.70724102,3.285628502,3.153917208,0,2.799967298,0,3.06845359,4.315863422,0,2.500620267,0,2.325986005,7.730226936,2.620417184,0,0,2.836715939,0,2.58685192,2.508322536,2.340262344,2.791227248,2.34450668,3.040898173,3.003386325,2.642885488,2.958469417,0,2.744774742,2.758752265,3.058182919,2.398681599,4.806002214,0,3.508640288,2.466488087,3.193762448,3.399821419,3.088147767,2.360094401,0,2.914015136,0,2.024802202,4.851057781,3.211424472,2.365578865,2.840588477,2.371426436,2.928251753,3.501098791,0,3.072083444,3.344284728,2.811458532,2.666495131,3.366142608,0,0,2.832242309,3.018232371,0,2.91706069,2.615386229,0,2.900601158,4.141207911,3.370913853,0,3.571768222,2.716794637,0,32.67027435,3.357377384,3.653808908,2.914643084,0,3.236335928,0,2.889604284,0,3.034821384,0,3.110876019,2.856722168,3.148553876,0
OTU4706,0,0,6.822509531,0,0,4.860041608,0,2.338785316,0,0,3.838188335,0,3.139884674,0,0,0,0,2.591670418,0,0,0,0,2.985304521,0,0,0,0,0,0,0,0,0,3.575124065,3.712320712,3.158941366,0,0,0,6.547858145,0,4.565826968,0,0,0,0,0,2.458180999,0,0,3.511018047,4.507303532,0,0,6.375282398,0,2.323402035,3.663667944,0,4.646281097,0,0,0,0,3.32037551,0,0,2.169376175,0,0,2.646548042,0,0,4.398163153,0,0,0,0,0,3.607316176,0,0,0,0,2.350999116,3.034821384,0,3.110876019,0,0,0
OTU20,6.681663188,0,0,8.299559988,7.047529835,6.350833885,5.715049408,7.341672612,5.704090617,10.48605233,4.80492361,9.487722728,7.362264348,9.266371983,5.822575335,8.021710387,5.432476694,7.008239091,8.066390965,7.683174128,0,7.730141905,10.89232397,7.811848617,0,9.632797601,9.601347747,6.619383597,9.600881653,6.41226151,0,6.472068699,2.758752265,7.281392291,6.385875063,6.131629617,6.773170502,7.458899455,0,7.162367472,0,8.832183992,7.413854421,0,4.709824729,11.43051174,5.75560673,7.209273408,4.785544498,6.031116485,8.252379459,12.72235775,0,2.502174432,3.865493027,7.282757083,9.114152145,7.623861543,7.546716047,0,6.021916729,0,0,6.552759831,6.488059221,4.418290691,7.862414015,10.93429413,13.00363722,9.344157192,7.197621221,8.177549292,0,7.144350003,9.765417008,0,5.71502322,9.215452048,6.137135905,4.828936022,8.861097917,5.033583367,0,6.091885685,5.058581341,0,5.850423743,7.159511899,7.843176785,7.616955408
OTU38,7.27634105,0,7.224948536,5.34921164,9.072116357,8.901715076,6.659343905,0,0,5.519851894,5.440292502,9.658731707,5.759474607,10.25919683,6.986763002,8.954341675,3.642771142,6.507111667,13.24049563,13.46478417,7.666533888,5.564635484,7.185532421,8.555228134,2.330774884,7.905097375,0,5.252633751,11.06593426,8.75122508,0,6.099122402,8.423003399,2.770031289,10.72186119,5.718283377,0,7.927649951,0,9.543903621,0,7.017752752,10.15250258,0,0,6.506229408,2.458180999,0,4.227681763,5.551166301,0,12.10610943,10.10948907,0,5.678830816,8.417786517,10.99999085,8.209104436,6.065946108,8.498448004,0,0,0,7.92985753,7.370165329,5.746094411,8.107102136,9.612311171,9.912646616,0,9.85418171,6.859084103,7.37236084,2.716794637,0,0,10.72998275,7.804101328,0,7.906402367,6.487456768,6.897335951,4.570304652,5.897688977,2.553508656,3.057445428,6.790433923,5.67605845,11.01078315,6.061332567
OTU522,4.581300057,0,0,0,0,9.651458979,0,0,0,0,0,0,0,0,0,0,0,0,0,2.372452082,0,0,0,0,0,0,0,0,2.194643147,2.048389678,0,0,2.758752265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.273565567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU253,6.503263265,0,4.864875321,6.025153364,5.116354775,4.544291221,7.301051173,5.70573162,6.18345519,0,0,4.689324682,0,0,5.870788497,0,2.620417184,0,0,0,0,0,6.117468234,0,0,5.22622644,0,0,0,4.741430818,0,6.654477646,0,6.776298901,0,7.271166473,4.198565554,0,6.972687074,5.586154311,5.282661171,5.981937423,3.330831483,4.452911619,4.601645096,0,2.024802202,7.867983902,6.80744859,0,0,0,0,5.471621121,5.332081227,0,0,8.502784461,4.034603406,7.951270509,5.987703838,0,7.02861155,0,7.043743387,3.433738662,0,6.702225068,4.16775263,7.5404145,6.054704155,6.058273905,6.49140541,2.716794637,0,0,5.083189457,6.175434954,0,7.226675446,3.407072841,7.163325932,10.36636662,7.211041355,6.482406359,0,0,6.104745199,0,0
OTU8,2.565004248,0,2.799774199,9.653827314,9.359288018,2.075283473,0,10.22545804,9.492683447,2.320253439,12.54563224,15.14147276,3.592644471,5.498854087,2.325986005,11.68504126,0,3.076670799,3.476739809,2.836715939,4.069249307,10.62807617,3.285628502,2.801579009,3.080584253,0,5.820077809,8.000210267,2.194643147,2.483816605,0,14.24106049,10.25436355,0,0,2.678839159,7.028709361,8.634314749,2.466488087,12.09316163,0,2.602132466,0,2.645475258,3.210348311,2.444120493,2.930414052,6.129815696,0,12.63035609,2.840588477,2.371426436,2.928251753,4.495294438,0,2.323402035,8.814880097,19.08937547,15.74112269,0,3.429846936,11.14945661,0,11.86275394,3.738910829,7.850408914,3.970521826,2.821243559,2.900601158,2.646548042,4.453669657,11.90043371,17.34238112,0,0,0,18.34848919,10.96176208,18.71835972,2.695481347,4.317029277,2.795951699,8.251565735,0,3.562619316,3.057445428,6.532773201,2.39077057,10.24473948,0
OTU2065,0,0,0,0,0,0,0,0,5.550284888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU29,0,0,0,9.963878801,17.78141334,0,0,5.794100323,0,6.859231108,2.783833148,2.757984061,2.063848913,3.969807764,0,4.575500297,2.173999356,0,0,7.50310884,0,0,3.964668814,0,0,14.35802653,10.56330078,3.985779055,9.58892375,2.048389678,0,3.558981603,7.859704731,0,4.282984062,0,12.20651106,0,2.466488087,0,0,0,0,0,2.443189063,14.2217793,5.656526991,0,0,4.16249284,0,4.749673551,4.0101876,0,0,0,0,0,6.197015401,3.061625183,0,2.48327042,6.217188197,0,3.738910829,0,2.169376175,0,11.220123,0,0,0,3.256875551,6.18383135,5.501256986,0,0,0,5.230803033,0,8.930553123,0,6.685911885,2.350999116,0,3.057445428,6.989638152,2.39077057,2.657177521,6.257209215
