"fungi.Grass.BOGR.1" "fungi.mock2" "fungi.Ecotone.LATR.8" "fungi.SPEGAR.PLJA.4B" "fungi.SPEGAR.BOER.4A" "fungi.Ecotone.PLJA.8" "fungi.Ecotone.PLJA.1" "fungi.SPEGAR.PLJA.3A" "fungi.Grass.BOER.4" "fungi.SPEGAR.ARPU.2A" "fungi.SPEGAR.PLJA.2B" "fungi.Grass.BOER.7" "fungi.SPEGAR.BOER.1A" "fungi.SPEGAR.BOGR.3B" "fungi.Ecotone.LATR.5" "fungi.SPEGAR.BOER.2B" "fungi.Grass.PLJA.6" "fungi.Shrub.LATR.8" "fungi.SPEGAR.PLJA.1A" "fungi.SPEGAR.BOER.4B" "fungi.Grass.BOGR.7" "fungi.Ecotone.BOER.4" "fungi.Ecotone.BOER.7" "fungi.Ecotone.PLJA.5" "fungi.Ecotone.LATR.4" "fungi.SPEGAR.ARPU.1A" "fungi.SPEGAR.BOGR.2B" "fungi.SPEGAR.BOGR.1B" "fungi.SPEGAR.ARPU.1B" "fungi.Grass.PLJA.5" "fungi.Grass.PLJA.1" "fungi.Grass.BOGR.4" "fungi.SPEGAR.ARPU.4A" "fungi.Ecotone.PLJA.3" "fungi.Shrub.LATR.3" "fungi.Grass.BOGR.5" "fungi.SPEGAR.PLJA.4A" "fungi.SPEGAR.BOER.2A" "fungi.Ecotone.BOER.3" "fungi.Ecotone.BOER.8" "fungi.Ecotone.LATR.6" "fungi.Grass.BOER.6" "fungi.Grass.PLJA.2" "fungi.Shrub.LATR.7" "fungi.Shrub.LATR.5" "fungi.SPEGAR.ARPU.3B" "fungi.SPEGAR.BOER.1B" "fungi.Grass.BOER.5" "fungi.Ecotone.LATR.2" "fungi.SPEGAR.BOGR.4B" "fungi.Ecotone.LATR.3" "fungi.SPEGAR.ARPU.2B" "fungi.Shrub.LATR.6" "fungi.Ecotone.BOER.2" "fungi.Ecotone.LATR.7" "fungi.Ecotone.PLJA.7" "fungi.SPEGAR.ARPU.4B" "fungi.SPEGAR.BOGR.3A" "fungi.SPEGAR.PLJA.3B" "fungi.Grass.BOGR.3" "fungi.Shurb.LATR.2" "fungi.SPEGAR.PLJA.2A" "fungi.Shrub.LATR.4" "fungi.Ecotone.BOER.1" "fungi.Ecotone.BOER.5" "fungi.Grass.PLJA.7" "fungi.SPEGAR.BOER.3B" "fungi.Grass.BOER.2" "fungi.SPEGAR.BOGR.2A" "fungi.Grass.BOGR.8" "fungi.Grass.BOGR.6" "fungi.Ecotone.BOER.6" "fungi.Grass.PLJA.8" "fungi.SPEGAR.PLJA.1B" "fungi.Grass.BOGR.2" "fungi.mock1" "fungi.Grass.BOER.8" "fungi.Grass.PLJA.3" "fungi.SPEGAR.BOGR.4A" "fungi.Shrub.LATR.1" "fungi.SPEGAR.BOGR.1A" "fungi.Grass.BOER.3" "fungi.Ecotone.LATR.1" "fungi.Ecotone.PLJA.6" "fungi.Ecotone.PLJA.2" "fungi.Grass.BOER.1" "fungi.SPEGAR.BOER.3A" "fungi.Ecotone.PLJA.4" "fungi.Grass.PLJA.4" "fungi.SPEGAR.ARPU.3A"
"OTU4" 4 34233 0 2 3 5 0 2 0 3 7 0 2 0 1 256 2 0 0 2 0 3 1 1 2 1 2 4 2 4 0 1 1 3 1 14 0 5 1 2 2 2 1 0 2 0 1 15 2 1 1 1 3 4 0 3 2 1 1 3 0 0 1 2 0 2 2 0 1 7 3 0 3 2 0 28074 3 4 2 0 4 0 1 0 2 0 2 2 2 0
"OTU4706" 0 0 152 0 0 38 0 1 0 0 4 0 5 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 7 3 0 0 0 100 0 8 0 0 0 0 0 2 0 0 5 8 0 0 82 0 1 3 0 12 0 0 0 0 3 0 0 1 0 0 1 0 0 8 0 0 0 0 0 5 0 0 0 0 1 2 0 2 0 0 0
"OTU20" 96 0 0 479 139 158 64 224 44 1279 12 422 354 389 66 309 58 119 291 269 0 600 1125 308 0 844 598 194 1055 174 0 62 1 224 97 51 110 234 0 114 0 379 228 0 18 1517 101 124 13 75 192 2594 0 1 4 220 313 134 157 0 66 0 0 90 67 13 418 1441 1285 463 139 199 0 219 285 0 41 445 73 14 631 15 0 81 22 0 43 181 194 54
"OTU38" 151 0 206 47 496 900 146 0 0 50 23 458 95 617 176 530 8 80 2543 3204 109 104 154 485 1 325 0 56 1965 867 0 45 239 2 1245 35 0 320 0 473 0 118 1043 0 0 100 2 0 7 48 0 2139 1323 0 28 460 724 195 49 326 0 0 0 245 132 51 488 818 420 0 650 80 122 2 0 0 961 197 0 191 127 81 8 68 1 1 96 52 942 16
"OTU522" 13 0 0 0 0 1313 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU253" 83 0 25 89 25 27 238 58 68 0 0 11 0 0 69 0 2 0 0 0 0 0 65 0 0 36 0 0 0 35 0 72 0 153 0 127 9 0 140 30 17 50 4 10 16 0 1 195 85 0 0 0 0 36 20 0 0 232 6 234 64 0 85 0 104 4 0 134 5 161 55 41 62 2 0 0 22 57 0 120 5 99 520 200 83 0 0 77 0 0
"OTU8" 1 0 2 984 574 1 0 1113 605 1 1324 2721 9 26 1 1710 0 2 4 2 4 2700 3 2 3 0 46 523 1 2 0 2240 598 0 0 1 134 489 1 1299 0 1 0 1 3 1 4 52 0 2546 1 1 3 13 0 1 267 5289 3547 0 4 1289 0 1527 4 268 12 2 1 1 11 1076 4264 0 0 0 6683 963 8610 1 15 1 179 0 4 1 78 1 691 0
"OTU2065" 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU29" 0 0 0 1135 6661 0 0 63 0 161 1 1 1 5 0 16 1 0 0 238 0 0 7 0 0 4220 914 14 1049 1 0 3 169 0 12 0 1750 0 1 0 0 0 0 0 1 3495 92 0 0 11 0 21 12 0 0 0 0 0 55 2 0 1 44 0 4 0 1 0 717 0 0 0 2 101 15 0 0 0 31 0 655 0 60 1 0 1 112 1 1 19
"OTU1026" 0 0 0 0 15 0 0 0 0 25 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
