"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU4" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Coniochaetales" "f:Coniochaetaceae" "g:Coniochaeta" "s:Coniochaeta_ligniaria_SH020889.07FU"
"OTU4706" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU20" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU38" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU522" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Auriculariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU253" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU8" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2065" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU29" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1026" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU23" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Bolbitiaceae" "UNKNOWN" "UNKNOWN"
"OTU526" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Lentitheciaceae" "g:Darksidea" "UNKNOWN"
"OTU1" "d:Fungi" "p:Ascomycota" "c:Pezizomycetes" "o:Pezizales" "f:Ascobolaceae" "UNKNOWN" "UNKNOWN"
"OTU935" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Testudinaceae" "g:Lepidosphaeria" "s:Lepidosphaeria_nicotiae_SH019877.07FU"
"OTU50" "d:Fungi" "p:Ascomycota" "c:Leotiomycetes" "o:Leotiomycetes_ord_Incertae_sedis" "f:Leotiomycetes_fam_Incertae_sedis" "g:Scytalidium" "s:Scytalidium_cuboideum_SH211364.07FU"
"OTU218" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU117" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Xylariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU69" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Dictyosporiaceae" "g:Dictyosporium" "s:Dictyosporium_heptasporum_SH016883.07FU"
"OTU90" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU13" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Corticiales" "f:Corticiaceae" "g:Rhizochaete" "s:Rhizochaete_fouquieriae_SH007649.07FU"
"OTU264" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Entolomataceae" "g:Clitopilus" "UNKNOWN"
"OTU354" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU44" "d:Fungi" "p:Mucoromycota" "c:Mucoromycetes" "o:Mucorales" "f:Rhizopodaceae" "g:Rhizopus" "UNKNOWN"
"OTU159" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1286" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "o:Filobasidiales" "f:Filobasidiaceae" "g:Heterocephalacria" "UNKNOWN"
"OTU52" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU185" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU63" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Geastrales" "f:Geastraceae" "g:Geastrum" "UNKNOWN"
"OTU204" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU48" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4143" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "f:Lasiosphaeriaceae" "g:Podospora" "UNKNOWN"
"OTU130" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU202" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Hypocreales" "f:Hypocreales_fam_Incertae_sedis" "UNKNOWN" "UNKNOWN"
"OTU2" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Lentitheciaceae" "g:Darksidea" "s:Darksidea_alpha_SH523871.07FU"
"OTU26" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU310" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
