"","Row.names","OTU","average","av_Ecotone","av_Grassland","pval","Domain","Phylum","Class","Order","Family","Genus","Species","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"1","OTU1005","OTU1005",0.000553073978419963,2.540491173,0,0.0342,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"2","OTU1080","OTU1080",0.000571080839683252,2.6237685295,0,0.0383,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"3","OTU109","OTU109",0.000820074459356573,3.763738984,0,0.0148,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"4","OTU11","OTU11",0.00177206593849527,8.868187530875,1.4424111295,0.0052,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Ceratobasidiaceae","UNKNOWN","UNKNOWN","d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae","-","-","-","-","-","-","-","Unassigned","-"
"5","OTU1160","OTU1160",0.000459222284067166,2.040476724,0,0.018,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"6","OTU122","OTU122",0.000810123871052231,3.584467236,0,0.0243,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Psathyrellaceae","g:Coprinopsis","s:Coprinopsis_cinerea_SH487602.07FU","d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis_cinerea_SH487602.07FU","Psathyrellaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph-Wood Saprotroph","Agaricoid","NULL","Probable","Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"7","OTU124","OTU124",0.00106476631694088,5.350599288875,1.23722433,0.0073,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales","-","-","-","-","-","-","-","Unassigned","-"
"8","OTU125","OTU125",0.00110835345393068,6.64651513375,1.825805939375,3e-04,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"9","OTU135","OTU135",0.00139914992556233,0.479505724,6.23020656975,0.0024,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Cordycipitaceae","g:Lecanicillium","UNKNOWN","d:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Lecanicillium","Hypocreales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"10","OTU1352","OTU1352",0.000312871770136116,1.324901326,0,0.0494,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"11","OTU1502","OTU1502",0.000528099686583153,2.354162825875,0,0.0454,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"12","OTU156","OTU156",0.00126807384184229,0.312771804,5.994063138375,0.0032,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"13","OTU157","OTU157",0.000839381384665979,6.5926114735,3.495581142625,0.0458,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"14","OTU159","OTU159",0.000995827969241877,4.40247578225,0,0.0033,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"15","OTU1608","OTU1608",0.000306281954624821,1.290723623125,0,0.0494,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales","-","-","-","-","-","-","-","Unassigned","-"
"16","OTU162","OTU162",0.00103714077575616,6.677381791625,2.42433117075,0.0028,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"17","OTU1634","OTU1634",0.000621860264001149,0,2.851416334375,0.0219,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Claroideoglomeraceae","g:Claroideoglomus","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Claroideoglomeraceae,g:Claroideoglomus","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"18","OTU165","OTU165",0.000719165268220486,3.225909131,0,0.0456,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Crepidotaceae","g:Crepidotus","UNKNOWN","d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Crepidotaceae,g:Crepidotus","Crepidotaceae","9","Saprotroph","Wood Saprotroph","Agaricoid","NULL","Probable","NULL","b'Aime MC, et al. 2005. American Journal of Botany 92:74-82'"
"19","OTU17","OTU17",0.00100737246604557,5.329618032375,1.1458211655,0.007,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"20","OTU174","OTU174",0.000416880457129882,1.936707968,0,0.0496,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"21","OTU180","OTU180",0.00107098560840557,2.680378704375,6.483750957375,0.0333,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"22","OTU1812","OTU1812",0.000301097572537994,1.318848584375,0,0.0392,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"23","OTU185","OTU185",0.000876749871036989,2.131117875375,5.02037320725,0.0439,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"24","OTU191","OTU191",0.000882595031755237,6.05030994825,2.494212499125,0.0087,"d:Fungi","p:Basidiomycota","c:Tremellomycetes","o:Filobasidiales","f:Filobasidiaceae","g:Naganishia","s:Naganishia_albida_SH206549.07FU","d:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia,s:Naganishia_albida_SH206549.07FU","-","-","-","-","-","-","-","Unassigned","-"
"25","OTU1966","OTU1966",0.000391183608893561,1.716350866375,0,0.0161,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"26","OTU197","OTU197",0.000898413256806068,6.564574259625,2.677154026875,8e-04,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"27","OTU198","OTU198",0.000682657919247613,3.1161314865,0.352655444875,0.0383,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"28","OTU212","OTU212",0.000909948760139538,5.179495644625,1.99415622425,0.0451,"d:Fungi","p:Ascomycota","c:Ascomycota_cls_Incertae_sedis","o:Ascomycota_ord_Incertae_sedis","f:Ascomycota_fam_Incertae_sedis","g:Acrophialophora","UNKNOWN","d:Fungi,p:Ascomycota,c:Ascomycota_cls_Incertae_sedis,o:Ascomycota_ord_Incertae_sedis,f:Ascomycota_fam_Incertae_sedis,g:Acrophialophora","-","-","-","-","-","-","-","Unassigned","-"
"29","OTU213","OTU213",0.000587972204202325,2.77232736025,0.2947850125,0.0462,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales","f:Helotiaceae","g:Articulospora","UNKNOWN","d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora","Helotiaceae","9","Saprotroph-Symbiotroph","Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Microfungus","NULL","Probable","Usually saprobic on herbaceous or woody tissues, some species fungicolous. A few species are known to form mycorrhizae (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"30","OTU2167","OTU2167",0.000447257575951818,1.996332063375,0,0.018,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"31","OTU22","OTU22",0.00164665859029907,8.35357333825,1.260740732,3e-04,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"32","OTU2230","OTU2230",0.000738050771656757,3.488690383875,0.2947850125,0.0462,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"33","OTU2277","OTU2277",0.00060366819605079,2.682464386875,0,0.018,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"34","OTU232","OTU232",0.000791789598803058,3.760503233,0.412612578375,0.0046,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"35","OTU236","OTU236",0.000964690937783356,0,4.47301664575,0.0221,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"36","OTU2378","OTU2378",0.000563291802272473,0,2.605024303625,0.0067,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"37","OTU2406","OTU2406",0.000327492704940106,1.47864661175,0,0.0267,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"38","OTU242","OTU242",0.000988361341416394,4.896890691125,1.070224937875,0.0185,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"39","OTU2455","OTU2455",0.000547773869244321,2.40881822925,0,0.0063,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Basidiomycota","-","-","-","-","-","-","-","Unassigned","-"
"40","OTU246","OTU246",0.000727490779106898,3.330157037875,0.349493962375,0.0458,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"41","OTU25","OTU25",0.000896915123952599,4.44460517125,0.7470433225,0.0049,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"42","OTU250","OTU250",0.000460197254116729,1.91460216925,0,0.049,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"43","OTU251","OTU251",0.00139360544782882,6.16939635975,0,0.001,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"44","OTU256","OTU256",0.000611757779669022,2.712339002,0,0.0456,"d:Fungi","p:Ascomycota","c:Orbiliomycetes","o:Orbiliales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales","-","-","-","-","-","-","-","Unassigned","-"
