OTU	fungi.Grass.BOGR.1	fungi.mock2	fungi.Ecotone.LATR.8	fungi.SPEGAR.PLJA.4B	fungi.SPEGAR.BOER.4A	fungi.Ecotone.PLJA.8	fungi.Ecotone.PLJA.1	fungi.SPEGAR.PLJA.3A	fungi.Grass.BOER.4	fungi.SPEGAR.ARPU.2A	fungi.SPEGAR.PLJA.2B	fungi.Grass.BOER.7	fungi.SPEGAR.BOER.1A	fungi.SPEGAR.BOGR.3B	fungi.Ecotone.LATR.5	fungi.SPEGAR.BOER.2B	fungi.Grass.PLJA.6	fungi.Shrub.LATR.8	fungi.SPEGAR.PLJA.1A	fungi.SPEGAR.BOER.4B	fungi.Grass.BOGR.7	fungi.Ecotone.BOER.4	fungi.Ecotone.BOER.7	fungi.Ecotone.PLJA.5	fungi.Ecotone.LATR.4	fungi.SPEGAR.ARPU.1A	fungi.SPEGAR.BOGR.2B	fungi.SPEGAR.BOGR.1B	fungi.SPEGAR.ARPU.1B	fungi.Grass.PLJA.5	fungi.Grass.PLJA.1	fungi.Grass.BOGR.4	fungi.SPEGAR.ARPU.4A	fungi.Ecotone.PLJA.3	fungi.Shrub.LATR.3	fungi.Grass.BOGR.5	fungi.SPEGAR.PLJA.4A	fungi.SPEGAR.BOER.2A	fungi.Ecotone.BOER.3	fungi.Ecotone.BOER.8	fungi.Ecotone.LATR.6	fungi.Grass.BOER.6	fungi.Grass.PLJA.2	fungi.Shrub.LATR.7	fungi.Shrub.LATR.5	fungi.SPEGAR.ARPU.3B	fungi.SPEGAR.BOER.1B	fungi.Grass.BOER.5	fungi.Ecotone.LATR.2	fungi.SPEGAR.BOGR.4B	fungi.Ecotone.LATR.3	fungi.SPEGAR.ARPU.2B	fungi.Shrub.LATR.6	fungi.Ecotone.BOER.2	fungi.Ecotone.LATR.7	fungi.Ecotone.PLJA.7	fungi.SPEGAR.ARPU.4B	fungi.SPEGAR.BOGR.3A	fungi.SPEGAR.PLJA.3B	fungi.Grass.BOGR.3	fungi.Shrub.LATR.2	fungi.SPEGAR.PLJA.2A	fungi.Shrub.LATR.4	fungi.Ecotone.BOER.1	fungi.Ecotone.BOER.5	fungi.Grass.PLJA.7	fungi.SPEGAR.BOER.3B	fungi.Grass.BOER.2	fungi.SPEGAR.BOGR.2A	fungi.Grass.BOGR.8	fungi.Grass.BOGR.6	fungi.Ecotone.BOER.6	fungi.Grass.PLJA.8	fungi.SPEGAR.PLJA.1B	fungi.Grass.BOGR.2	fungi.mock1	fungi.Grass.BOER.8	fungi.Grass.PLJA.3	fungi.SPEGAR.BOGR.4A	fungi.Shrub.LATR.1	fungi.SPEGAR.BOGR.1A	fungi.Grass.BOER.3	fungi.Ecotone.LATR.1	fungi.Ecotone.PLJA.6	fungi.Ecotone.PLJA.2	fungi.Grass.BOER.1	fungi.SPEGAR.BOER.3A	fungi.Ecotone.PLJA.4	fungi.Grass.PLJA.4	fungi.SPEGAR.ARPU.3A	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU2	13.17373021	0	15.86115239	16.69680471	13.35954358	14.61986581	12.85572992	10.17924368	20.56762018	12.64051956	16.36872569	10.11260575	15.95810558	13.92562656	11.06588154	11.77553985	20.63318904	3.382005453	12.49661073	8.208447093	12.13391274	13.74268379	13.29490808	14.28771806	7.803884309	10.55199267	12.03780904	10.18799135	12.04146543	10.88725814	2.972421889	15.59872639	16.91251892	10.90706882	9.457776702	15.2759122	24.13496799	15.27844161	16.34581691	15.82066181	9.298885286	14.47678359	3.330831483	11.54529576	9.20236324	13.89649249	9.272935656	16.2108753	10.70323616	10.11207768	11.95997431	11.58433887	6.964441314	4.892890405	8.593395608	14.7321858	9.660472074	9.955032587	13.52150098	14.49852173	9.575265229	17.07957353	8.035010474	18.71154304	21.15408314	13.70933806	9.74105651	14.71453993	8.395499319	11.36368023	12.07445868	4.88044197	21.28903226	11.56319769	14.46913194	3.136541294	13.90785074	9.315395134	19.60154009	13.64387379	7.08217501	15.37240276	6.766917678	15.05489968	16.45892873	15.84058927	13.39416303	5.773797892	20.601345	14.07049559	"d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Lentitheciaceae(0.9300),g:Darksidea(0.9300),s:Darksidea_alpha_SH523871.07FU(0.8800)"	Darksidea	13	Symbiotroph	Endophyte	Dark Septate Endophyte	NULL	Highly Probable	NULL	b'Knapp DG, et al. 2015. Persoonia 35:87-100'
OTU5	7.953931313	2.915033808	10.36209491	7.686011629	6.638337365	7.4978614	8.357409204	6.736635986	5.309325222	7.708984407	7.012260312	9.196203698	7.165156096	10.24402249	16.30365403	7.466449653	7.373698732	20.48931738	7.414626383	12.31508893	6.563577422	8.723603846	9.273840453	7.454607151	12.22770376	8.762090491	7.396607738	7.332201264	10.11100401	9.067014948	2.972421889	5.621555333	7.366692645	0	19.9363068	4.298751465	6.524707909	7.495344683	9.112845368	12.69707355	9.456795776	9.212875018	7.889493763	13.96628888	8.400863948	7.218263377	2.458180999	6.948091735	7.287911313	9.372829884	14.28556613	8.047352459	13.22229208	8.692322464	12.64356292	12.18116021	8.607789453	5.435493626	9.161919637	7.687395472	12.19296752	2.48327042	19.23726945	10.65077715	8.389311087	6.302626381	6.151259225	9.550019674	10.77151785	9.731646675	7.065030581	8.456668193	5.775616326	7.991969412	7.594550099	0	6.898872012	6.621084012	8.248781535	10.51956731	8.666677115	5.624242882	8.820544233	9.107557185	8.349425026	7.760639658	5.947685611	8.514963569	7.745722596	6.894433884	"d:Fungi(1.0000),p:Ascomycota(0.9900),c:Dothideomycetes(0.9900),o:Pleosporales(0.9900),f:Didymellaceae(0.3200),g:Alternaria(0.2000),s:Ascochyta_rabiei_SH207247.07FU(0.0500)"	Ascochyta	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:1256688'
OTU10	6.179414165	5.021175908	0	5.907342707	12.29994146	5.673741972	6.149213881	8.664161638	6.513085527	12.97328297	8.289607933	10.10855039	5.085277017	5.90136416	4.683786275	2.424563657	2.620417184	5.873177525	8.987600325	4.658657596	6.088534303	4.965726646	2.985304521	9.092993507	5.746033098	6.187341776	7.273073694	3.923491615	5.706453218	8.254108346	9.590608641	7.15558482	2.758752265	5.781282143	10.29204894	6.975606248	10.27075169	8.541832703	9.818841674	11.50682436	25.42818936	6.901865845	7.788222594	7.727851108	4.093417216	8.47444559	5.561344389	16.99902497	8.334691291	4.16249284	10.48596232	3.789352412	11.25926304	8.976019571	4.344900755	7.574903156	8.651994252	7.193683258	6.042838906	9.803502787	4.897000227	8.224517357	12.53221859	11.01304417	8.389311087	5.296438277	7.121081796	8.403980336	3.73868442	7.66323826	5.008053945	4.540334258	8.028551691	9.564575992	0	3.67368086	4.942128965	8.101123483	6.418563632	10.28341621	7.095310492	7.501248593	7.847208366	7.81760257	6.808190038	13.22873916	7.16821903	8.401213884	5.590236829	4.048637225	"d:Fungi(1.0000),p:Basidiomycota(0.6500),c:Malasseziomycetes(0.6500),o:Malasseziales(0.6500),f:Malasseziaceae(0.6500),g:Malassezia(0.6500),s:Malassezia_restricta_SH176394.07FU(0.6500)"	Malassezia	13	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Facultative Yeast	NULL	Probable	A lipid-dependent fungus growing on the sebaceous areas of human skin that may cause or exacerbate several skin diseases (Pityrosporum is a synonym that has been used for the yeast forms)	b'Findley K, et al. 2013. Nature 498:367-370'
OTU1	5.200450242	3.211424472	2.338608351	9.396306684	4.354613689	2.787017932	2.281955134	3.478017526	2.516787072	13.34477503	5.247904492	0	20.10821409	17.71015685	2.325986005	2.424563657	5.242097685	2.591670418	11.8948292	7.060354309	7.720528509	5.481935535	7.981614662	8.410247679	7.062775804	2.34450668	5.470675599	5.160247194	5.5014113	8.956647479	0	2.744774742	18.34385078	3.272447974	16.44565446	9.751649357	14.31311092	6.712720063	2.939503314	0	3.399821419	3.394103761	9.068063146	2.645475258	3.210348311	6.709705525	20.62676889	3.695639154	3.755292797	19.31345665	4.387846694	3.127479381	2.198435809	6.800196474	10.55183027	3.072083444	8.975000413	22.36281767	6.718486366	5.258590081	4.413839519	9.037289905	2.832242309	3.018232371	0	6.691907815	6.014945109	7.650183834	14.184927	6.963537623	5.506236565	3.604258274	13.97765121	26.51366759	9.258388196	0	2.570373376	5.886423972	2.914643084	9.102383402	10.23702337	6.395557151	2.889604284	6.249646333	4.565570375	18.02596527	5.630749252	23.55122097	14.85052153	7.47529595	"d:Fungi(1.0000),p:Ascomycota(1.0000),c:Pezizomycetes(1.0000),o:Pezizales(1.0000),f:Ascobolaceae(1.0000)"	-	-	-	-	-	-	-	Unassigned	-
OTU18	6.782227138	0	6.943982538	6.852762363	5.15472303	10.0305626	6.479436925	6.691740413	2.516787072	0	6.826357376	9.722873778	5.867472877	10.3304425	7.707288034	7.276080905	5.920065962	6.795845314	7.894572734	8.281725196	5.772408542	7.013428899	9.803970578	4.659524817	5.20490758	8.864271606	9.177261723	7.938757465	9.352699459	9.373342371	0	5.691831124	5.403363391	9.173234009	6.743147677	8.603679181	5.532603878	5.569453968	8.217866951	8.970292171	0	6.383138926	8.101568172	0	6.088663962	7.757983557	4.756609435	8.949767559	6.666710264	12.57844567	9.527467349	7.034965476	0	8.566112098	10.49335446	9.708223302	9.258703382	7.193683258	8.658589376	7.964655748	5.229222294	0	2.832242309	7.798214063	6.558309227	4.187801069	6.534755585	9.096302796	9.959668441	7.971562764	7.899625197	9.849625538	0	6.543261569	9.757841087	0	9.10335787	7.234438244	7.361600744	6.844987589	7.908831211	7.020576473	3.726024972	9.85860637	6.195383722	0	7.894389755	6.839654249	8.300847553	9.126499331	"d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Pleosporaceae(0.8300),g:Alternaria(0.8300),s:Alternaria_tellustris_SH216786.07FU(0.6300)"	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Possible	NULL	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:125688'
OTU9	6.966634785	0	2.799774199	2.253739166	2.508322536	12.18383661	2.281955134	0	5.240522742	6.700119932	2.783833148	7.07574555	8.404828603	11.666598	2.325986005	5.135992534	4.62113798	8.917012636	5.152177132	3.790667052	4.982964302	10.92664311	7.19436761	6.757174185	2.330774884	7.487751602	7.674981464	2.799423431	4.687795475	7.503678524	0	2.744774742	10.71007908	0	5.062831271	5.241553637	0	8.406403725	6.161141226	5.77902267	0	9.037936383	5.355921613	0	0	9.0715321	7.48609007	2.664578781	3.211424472	9.69009174	0	8.014293998	2.647014025	12.74625547	8.51327409	14.16918884	10.90861623	9.848116297	3.158781659	12.29812474	3.209814027	0	2.832242309	6.903428793	6.523587268	7.466070826	7.981129438	11.64288573	12.83755018	2.646548042	8.190942336	13.78708415	6.869482045	0	0	0	10.72474847	12.31691529	8.945027519	18.38280571	8.103519069	6.541850773	5.34491573	11.23071888	14.51505168	0	7.06999218	8.346564977	5.590236829	0	"d:Fungi(1.0000),p:Ascomycota(1.0000)"	-	-	-	-	-	-	-	Unassigned	-
OTU20	6.681663188	0	0	8.299559988	7.047529835	6.350833885	5.715049408	7.341672612	5.704090617	10.48605233	4.80492361	9.487722728	7.362264348	9.266371983	5.822575335	8.021710387	5.432476694	7.008239091	8.066390965	7.683174128	0	7.730141905	10.89232397	7.811848617	0	9.632797601	9.601347747	6.619383597	9.600881653	6.41226151	0	6.472068699	2.758752265	7.281392291	6.385875063	6.131629617	6.773170502	7.458899455	0	7.162367472	0	8.832183992	7.413854421	0	4.709824729	11.43051174	5.75560673	7.209273408	4.785544498	6.031116485	8.252379459	12.72235775	0	2.502174432	3.865493027	7.282757083	9.114152145	7.623861543	7.546716047	0	6.021916729	0	0	6.552759831	6.488059221	4.418290691	7.862414015	10.93429413	13.00363722	9.344157192	7.197621221	8.177549292	0	7.144350003	9.765417008	0	5.71502322	9.215452048	6.137135905	4.828936022	8.861097917	5.033583367	0	6.091885685	5.058581341	0	5.850423743	7.159511899	7.843176785	7.616955408	"d:Fungi(1.0000),p:Ascomycota(0.6100),c:Dothideomycetes(0.6100),o:Dothideales(0.6000),f:Aureobasidiaceae(0.6000),g:Aureobasidium(0.3200),s:Aureobasidium_subglaciale_SH376402.07FU(0.3100)"	Aureobasidium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Plant Pathogen-Undefined Saprotroph	Facultative Yeast	NULL	Possible	NULL	b'Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; Wachowska U, Glowacka K. 2014. Biocontrol 59:pp 635-645; Irinyia L, Lacknerb M, de Hoog GS, Meyer W. 2016. Fungal Biology 120:125-136; http://www.apsnet.org/publications/commonnames/Pages/default.aspx'
OTU38	7.27634105	0	7.224948536	5.34921164	9.072116357	8.901715076	6.659343905	0	0	5.519851894	5.440292502	9.658731707	5.759474607	10.25919683	6.986763002	8.954341675	3.642771142	6.507111667	13.24049563	13.46478417	7.666533888	5.564635484	7.185532421	8.555228134	2.330774884	7.905097375	0	5.252633751	11.06593426	8.75122508	0	6.099122402	8.423003399	2.770031289	10.72186119	5.718283377	0	7.927649951	0	9.543903621	0	7.017752752	10.15250258	0	0	6.506229408	2.458180999	0	4.227681763	5.551166301	0	12.10610943	10.10948907	0	5.678830816	8.417786517	10.99999085	8.209104436	6.065946108	8.498448004	0	0	0	7.92985753	7.370165329	5.746094411	8.107102136	9.612311171	9.912646616	0	9.85418171	6.859084103	7.37236084	2.716794637	0	0	10.72998275	7.804101328	0	7.906402367	6.487456768	6.897335951	4.570304652	5.897688977	2.553508656	3.057445428	6.790433923	5.67605845	11.01078315	6.061332567	"d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000)"	-	-	-	-	-	-	-	Unassigned	-
OTU15	5.963775147	0	0	7.815417257	2.508322536	5.161771801	7.66308121	13.60057397	0	6.254377667	9.982605051	2.757984061	8.559652201	15.15012208	0	8.284156987	4.276095508	6.963282519	13.91270214	5.934441446	0	5.381565059	4.179117161	0	8.311374695	5.4953516	11.08828351	20.37956284	4.575534305	4.435039926	0	7.504648608	8.782875956	2.311343213	6.800236557	5.485059883	5.639648125	10.31655582	0	0	0	4.764232493	5.741254365	0	8.545369025	10.98257967	8.797697913	2.664578781	0	11.54249819	0	3.127479381	2.198435809	9.870930453	4.835824638	4.879346184	11.053896	8.13185294	13.11690437	5.21967181	5.19680265	0	8.592171042	0	6.505926795	0	5.192583031	7.720786877	13.22266827	5.755148582	4.736339741	7.084462044	0	6.18383135	3.6695522	0	5.688826326	0	10.11196053	7.180282943	6.683085315	4.652089553	24.10224127	2.350999116	2.553508656	0	5.159780012	7.507425466	0	4.048637225	"d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(0.9900),o:Pleosporales(0.9900),f:Sporormiaceae(0.9700),g:Preussia(0.9700),s:Preussia_terricola_SH215538.07FU(0.0700)"	Preussia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:1256688'
OTU57	7.775866522	2.444120493	6.691393958	2.70724102	6.414928492	6.108055095	0	7.989292393	0	2.320253439	6.559863815	0	5.564971232	9.346875218	5.051412994	9.317029835	2.173999356	6.111086991	5.351655556	4.382939415	0	5.369871443	3.836045792	5.689749285	7.011581858	3.312160401	4.764178834	3.923491615	3.669673245	6.327917136	9.734732076	3.558981603	13.03646504	7.348360771	5.786987005	9.885205638	5.639648125	8.744602265	6.447286908	4.898008	7.580712184	4.881691625	9.908768374	11.19441465	10.97070664	2.444120493	6.532383321	5.348374182	5.040275857	7.022872173	8.744330792	5.055754259	5.195068073	5.41325243	9.390181809	3.603331012	5.321952312	13.45820976	6.258232265	5.941972127	6.31061339	6.86912924	9.727180628	8.939891225	5.950494167	6.274568702	6.503711532	6.287558709	0	0	3.596850772	8.427192339	0	4.98524403	3.132756044	2.646233197	4.260640349	7.325315959	10.34282219	8.30187103	3.673630332	6.600496284	0	3.63807826	5.608135141	0	3.979881527	0	6.610518595	6.129722801	"d:Fungi(1.0000),p:Ascomycota(0.9600),c:Eurotiomycetes(0.9600),o:Eurotiales(0.9600),f:Aspergillaceae(0.9600),g:Aspergillus(0.9200),s:Aspergillus_fumigatiaffinis_SH449475.07FU(0.4800)"	Aspergillus	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Animal Pathogen-Plant Saprotroph-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	NULL	Probable	NULL	b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; http://www.apsnet.org/publications/commonnames/Pages/default.aspx; http://www.cdc.gov'
