"fungi.Grass.BOGR.1" "fungi.mock2" "fungi.Ecotone.LATR.8" "fungi.SPEGAR.PLJA.4B" "fungi.SPEGAR.BOER.4A" "fungi.Ecotone.PLJA.8" "fungi.Ecotone.PLJA.1" "fungi.SPEGAR.PLJA.3A" "fungi.Grass.BOER.4" "fungi.SPEGAR.ARPU.2A" "fungi.SPEGAR.PLJA.2B" "fungi.Grass.BOER.7" "fungi.SPEGAR.BOER.1A" "fungi.SPEGAR.BOGR.3B" "fungi.Ecotone.LATR.5" "fungi.SPEGAR.BOER.2B" "fungi.Grass.PLJA.6" "fungi.Shrub.LATR.8" "fungi.SPEGAR.PLJA.1A" "fungi.SPEGAR.BOER.4B" "fungi.Grass.BOGR.7" "fungi.Ecotone.BOER.4" "fungi.Ecotone.BOER.7" "fungi.Ecotone.PLJA.5" "fungi.Ecotone.LATR.4" "fungi.SPEGAR.ARPU.1A" "fungi.SPEGAR.BOGR.2B" "fungi.SPEGAR.BOGR.1B" "fungi.SPEGAR.ARPU.1B" "fungi.Grass.PLJA.5" "fungi.Grass.PLJA.1" "fungi.Grass.BOGR.4" "fungi.SPEGAR.ARPU.4A" "fungi.Ecotone.PLJA.3" "fungi.Shrub.LATR.3" "fungi.Grass.BOGR.5" "fungi.SPEGAR.PLJA.4A" "fungi.SPEGAR.BOER.2A" "fungi.Ecotone.BOER.3" "fungi.Ecotone.BOER.8" "fungi.Ecotone.LATR.6" "fungi.Grass.BOER.6" "fungi.Grass.PLJA.2" "fungi.Shrub.LATR.7" "fungi.Shrub.LATR.5" "fungi.SPEGAR.ARPU.3B" "fungi.SPEGAR.BOER.1B" "fungi.Grass.BOER.5" "fungi.Ecotone.LATR.2" "fungi.SPEGAR.BOGR.4B" "fungi.Ecotone.LATR.3" "fungi.SPEGAR.ARPU.2B" "fungi.Shrub.LATR.6" "fungi.Ecotone.BOER.2" "fungi.Ecotone.LATR.7" "fungi.Ecotone.PLJA.7" "fungi.SPEGAR.ARPU.4B" "fungi.SPEGAR.BOGR.3A" "fungi.SPEGAR.PLJA.3B" "fungi.Grass.BOGR.3" "fungi.Shurb.LATR.2" "fungi.SPEGAR.PLJA.2A" "fungi.Shrub.LATR.4" "fungi.Ecotone.BOER.1" "fungi.Ecotone.BOER.5" "fungi.Grass.PLJA.7" "fungi.SPEGAR.BOER.3B" "fungi.Grass.BOER.2" "fungi.SPEGAR.BOGR.2A" "fungi.Grass.BOGR.8" "fungi.Grass.BOGR.6" "fungi.Ecotone.BOER.6" "fungi.Grass.PLJA.8" "fungi.SPEGAR.PLJA.1B" "fungi.Grass.BOGR.2" "fungi.mock1" "fungi.Grass.BOER.8" "fungi.Grass.PLJA.3" "fungi.SPEGAR.BOGR.4A" "fungi.Shrub.LATR.1" "fungi.SPEGAR.BOGR.1A" "fungi.Grass.BOER.3" "fungi.Ecotone.LATR.1" "fungi.Ecotone.PLJA.6" "fungi.Ecotone.PLJA.2" "fungi.Grass.BOER.1" "fungi.SPEGAR.BOER.3A" "fungi.Ecotone.PLJA.4" "fungi.Grass.PLJA.4" "fungi.SPEGAR.ARPU.3A"
"OTU4" 8.81672251645502 21.386055805084 0 6.92983196728313 7.81905635920381 7.5641114203898 0 7.07935676378666 0 7.56791734670976 10.1441182910867 0 6.76815884696588 0 6.28969783311886 14.1223800506346 6.67767637285336 0 0 7.26016325888753 0 6.89975174818309 6.69941871109543 6.29350450232485 7.32045454383196 6.23440486922546 8.05261899813579 7.77323614233111 6.9280557365178 7.46549988386498 0 7.130754844763 7.17431047165942 7.41823407778799 6.31916063383901 10.6817554473003 0 8.44572506500981 6.40727927446916 7.63560696410225 8.77037718325239 7.69277902434594 6.11081652829932 0 7.08820945307316 0 5.29663691018963 10.6724209411269 8.01533408002176 6.2900219686365 7.57145251905524 6.35956689730562 7.40238535411994 8.79057708409796 0 7.84677367634458 8.4087459154514 7.06168316182105 6.79877906320701 8.0077082869487 0 0 7.81674671196322 7.38848486792196 0 7.36799535340662 7.03984700896731 0 7.37748909522776 9.22961231325602 8.1188566885439 0 8.49722194186734 7.00288792525519 0 21.575965629459 8.60382784158156 8.57517818295246 7.15776158264368 0 8.31300768756197 0 6.73128016017099 0 7.52589574816825 0 7.66816164150942 7.47002120053904 7.74140538096873 0
"OTU4706" 0 0 13.6139608042838 0 0 10.4768489654785 0 6.10030745222415 0 0 9.33867220042871 0 8.07421861963503 0 0 0 0 6.5340351443253 0 0 0 0 7.68557042913779 0 0 0 0 0 0 0 0 0 8.74595534805675 8.63099509269378 7.88003275182753 0 0 0 13.017286169001 0 10.7654199059718 0 0 0 0 0 6.26016904680064 0 0 8.58237586327328 10.5581574127735 0 0 13.1419250174057 0 6.28645390550498 8.99088250016062 0 10.3599049503781 0 0 0 0 7.96772428118806 0 0 6.06136866762079 0 0 6.45062633685218 0 0 9.90726956134637 0 0 0 0 0 8.46757403840778 0 0 0 0 6.17817761381124 7.52589574816825 0 7.66816164150942 0 0 0
"OTU20" 13.3955467633726 0 0 14.8100510911832 13.3405075904576 12.5311643101114 12.0003705360482 13.8654900930638 12.1315952158959 16.2885445488912 10.9206637696971 15.4554493442782 14.2093226093866 15.0726759931215 12.297545217635 14.3938153297628 11.5083241079306 13.397814963467 14.7987584685402 14.3128832239788 0 14.5194648553793 16.8072549432776 14.5233920666277 0 15.9169707262688 16.2657694005578 13.3602036906027 15.9473361187798 12.8924510771894 0 13.0646252438482 7.17431047165942 13.6239363942137 12.883090628636 12.5455513943549 13.2353596960024 13.9860522463517 0 13.4542077953381 0 15.2449276340354 13.9018391869304 0 10.2392391989895 17.1625439884783 11.8812529025718 13.7181722111606 10.7063277627211 12.4822334330691 15.1412853823283 17.665189255428 0 6.80988631560427 9.15931513517519 14.0307819667711 15.6903165799398 14.1062560945542 14.06753477749 0 12.4208917647085 0 0 12.8634529551102 13.0128602792375 10.053631260881 14.7253008994367 16.9731417648234 17.6876506402522 15.2723883340992 13.6426624544267 14.829448140829 0 13.7552984630307 15.8761544169313 0 12.3695366891215 15.3653329611567 12.3278692615827 10.874119883734 15.605474694429 10.7460824694777 0 12.4784093177206 10.9710663972004 0 12.080871593412 13.953728508102 14.3279432177454 15.5426056094133
"OTU38" 14.0488914781777 0 14.0524734927231 11.4616808753847 15.175562610883 15.0407628448687 13.1897995668342 0 0 11.6124857957781 11.8585514238963 15.5735488961348 12.3119878431285 15.7381453872347 13.7122244974552 15.172144960137 8.65651179297059 12.8250556013184 17.9261092200363 17.8869494202126 14.2372996462566 11.9916716268182 13.9384908243019 15.1784017482308 6.33823005752268 14.5402419150858 0 11.5683216661145 16.8446012850397 15.209092434438 0 12.6024092386785 15.055215941707 6.84162095233367 16.5647556028371 12.0026296394895 0 14.4375678339934 0 15.5068190249434 0 13.5616809818078 16.0953253121037 0 0 13.2396734637306 6.26016904680064 0 9.81472118461222 11.8386608134189 0 17.3869502112536 16.1699532259624 0 11.9623424669573 15.0948223614601 16.9001126422856 14.6474460401799 12.3879941894824 14.7603450789249 0 0 0 14.3079928452211 13.9909933108789 12.0235937658322 14.9486638252864 16.1562612583529 16.0743716619668 0 15.8678399247737 13.5148990175895 13.835197936447 7.00288792525519 0 0 16.9198552659958 14.1898093014475 0 14.6427688436121 13.2928928300653 13.1776728041682 9.70744748343047 12.226118798008 6.54134325630244 7.41226797851903 13.2392016448641 12.1547733332807 16.6075022166061 13.7878616681387
"OTU522" 10.5127318398241 0 0 0 0 15.5856059291373 0 0 0 0 0 0 0 0 0 0 0 0 0 6.27868531707243 0 0 0 0 0 0 0 0 5.95127693187423 5.51301624850682 0 0 7.17431047165942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.4069164135521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU253" 13.18566562726 0 11.0110577938184 12.3823427193488 10.8666902088171 9.98463289702929 13.8946734080304 11.9166692643279 12.7593995109403 0 0 10.196178117997 0 0 12.3616506397571 0 6.67767637285336 0 0 0 0 0 12.6943236863553 0 0 11.3668426663623 0 0 0 10.5802963028365 0 13.2803071627005 0 13.0740753621444 0 13.8615219241952 9.62727650104262 0 13.5026135671973 11.5289278942116 11.8520052769373 12.3232185824785 8.07944757508621 10.7338368243689 10.069612303048 0 5.29663691018963 14.3712282616146 13.4138159190413 0 0 0 0 11.9547057756516 11.4772047520698 0 0 14.8980787913724 9.36209643034353 14.282022518077 12.3765140856849 0 14.2134634531077 0 13.6470866167737 8.35927515181221 0 13.5465950597787 9.68551862395369 13.7485735693273 12.3054255710825 12.5507573530454 12.8588479305204 7.00288792525519 0 0 11.4718870046148 12.4010266283362 0 13.9722973436169 8.63312521657231 13.4671228061731 15.7264152399764 13.7821146630634 12.8856177370414 0 0 12.7209147306933 0 0
"OTU8" 6.83568910236643 0 7.38313966698425 15.8486322008992 15.3862626327233 5.30102762487018 0 16.1782186337082 15.912358614327 6.01274530351238 17.7049132681826 18.144217138831 8.91746324811941 11.1706576110992 6.28969783311886 16.8620230917397 0 7.51850940203517 8.62111926973877 7.26016325888753 9.47302889525435 16.6892942984579 8.26587234564723 7.27517111115579 7.89941848683346 0 12.5657690182099 14.7907853713232 5.95127693187423 6.48159867275275 0 18.2393844637918 16.3782999305207 0 0 6.8969565825526 13.5200355886097 15.0492854541717 6.40727927446916 16.964268961507 0 6.70655910189383 0 7.4270294413791 7.66612953684629 6.62490352328453 7.24140853147817 12.4647120018738 0 17.5669419756572 7.57145251905524 6.35956689730562 7.40238535411994 10.486505378202 0 6.28645390550498 15.4610030659282 19.4087866993486 18.5651370218849 0 8.38461777239518 16.9846243770292 0 16.9477198200951 8.9522530207715 14.4166964507438 9.6065014621358 7.49628985905514 7.37748909522776 6.45062633685218 9.9857744734246 17.2642051060749 18.9622605424706 0 0 0 19.7177228790879 16.4790266543084 19.2092856939358 7.08653544982145 10.2132428362491 6.86241624947257 14.1879645842087 0 8.51807834470393 7.41226797851903 12.9397102163697 6.48607030983443 16.1604713637042 0
"OTU2065" 0 0 0 0 0 0 0 0 11.9201926136009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU29" 0 0 0 16.0545877724574 18.9228172059628 0 0 12.0359089738268 0 13.2989111534508 7.35192918422794 6.76101272411411 5.79404155121971 8.79738657027126 0 10.124803669134 5.70519502699788 0 0 14.1362570900396 0 0 9.48291064261035 0 0 18.2388615124406 16.8778054207015 9.57116697035918 15.9391080589466 5.51301624850682 0 8.70199153276274 14.5552636713406 0 9.87084162041743 0 17.2268587825315 0 6.40727927446916 0 0 0 0 0 6.10903426217446 18.366604227277 11.7466781779635 0 0 9.71577541946102 0 10.7182432818772 9.38958433250702 0 0 0 0 0 12.5545853414002 7.4283134901637 0 6.68082740813617 13.2636456504729 0 8.9522530207715 0 6.06136866762079 0 16.8459381320643 0 0 0 7.91623282165644 12.6389666230902 11.6290900335701 0 0 0 11.0930009502514 0 15.6593274753127 0 12.611345955045 6.17817761381124 0 7.41226797851903 13.4615514402191 6.48607030983443 6.75473397156061 14.0357569717238
"OTU1026" 0 0 0 0 10.130753693821 0 0 0 0 10.6134065664235 0 0 0 0 0 0 0 0 0 8.83257751633311 0 0 0 0 0 0 0 10.4060000131078 0 0 0 0 0 0 0 0 13.2221870519372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
