"","OTU","OTU_sum","Domain","Phylum","Class","Order","Family","Genus","Species"
"728","OTU2",933.867548926756,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Lentitheciaceae","g:Darksidea","s:Darksidea_alpha_SH523871.07FU"
"2275","OTU5",831.01384283983,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"2","OTU10",747.771437280365,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"597","OTU18",683.737534415514,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","g:Alternaria","UNKNOWN"
"2583","OTU81",676.25613690561,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","g:Mortierella","UNKNOWN"
"1295","OTU30",614.567066916166,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Phaeosphaeriaceae","g:Chaetosphaeronema","UNKNOWN"
"2665","OTU9",611.824841618753,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1093","OTU26",598.640755797892,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1782","OTU4012",595.359721464146,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"2348","OTU57",591.086254974599,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","f:Aspergillaceae","g:Aspergillus","UNKNOWN"
"1","OTU1",589.103511768342,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Ascobolaceae","UNKNOWN","UNKNOWN"
"299","OTU138",588.853873799627,"d:Fungi","p:Calcarisporiellomycota","c:Calcarisporiellomycetes","o:Calcarisporiellales","f:Calcarisporiellaceae","g:Calcarisporiella","UNKNOWN"
"1801","OTU4056",572.213158464805,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1756","OTU3948",570.203840177121,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"2402","OTU62",568.485981496218,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1688","OTU38",568.246216918627,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"729","OTU20",562.014410466625,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"638","OTU186",561.576862984329,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Capnodiales","UNKNOWN","UNKNOWN","UNKNOWN"
"1811","OTU4081",554.486069286876,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"2327","OTU55",551.122952010037,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","g:Alternaria","UNKNOWN"
"2640","OTU87",545.00814474494,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Nectriaceae","UNKNOWN","UNKNOWN"
"1818","OTU4092",521.682078448394,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1778","OTU40",519.942242361613,"d:Fungi","p:Basidiomycota","c:Malasseziomycetes","o:Malasseziales","f:Malasseziaceae","g:Malassezia","UNKNOWN"
"1059","OTU253",517.184033000348,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","UNKNOWN","UNKNOWN","UNKNOWN"
"1196","OTU28",501.151308916183,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"856","OTU22",499.519158561565,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"83","OTU11",496.122902354274,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Ceratobasidiaceae","UNKNOWN","UNKNOWN"
"570","OTU176",491.3090885725,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Kamienskia","s:Kamienskia_divaricata_SH641510.07FU"
"2684","OTU92",485.592656467737,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pyronemataceae","g:Scutellinia","UNKNOWN"
"528","OTU17",482.287120649039,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"2478","OTU70",479.025339802778,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Onygenales","UNKNOWN","UNKNOWN","UNKNOWN"
"2304","OTU526",474.030718570617,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Lentitheciaceae","g:Darksidea","UNKNOWN"
"163","OTU12",473.54614723388,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pezizaceae","UNKNOWN","UNKNOWN"
"2370","OTU59",466.135087303524,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"712","OTU197",455.062945852575,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1882","OTU4212",454.058090563832,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"2421","OTU64",453.823260413439,"d:Fungi","p:Ascomycota","c:Arthoniomycetes","o:Lichenostigmatales","f:Phaeococcomycetaceae","g:Phaeococcomyces","s:Phaeococcomyces_catenatus_SH197114.07FU"
"2506","OTU73",453.062310155932,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","f:Aspergillaceae","g:Penicillium","s:Penicillium_aethiopicum_SH407737.07FU"
"2574","OTU8",449.759136909374,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"2450","OTU67",447.060540236797,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1439","OTU33",442.021748434266,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"673","OTU191",441.837717646991,"d:Fungi","p:Basidiomycota","c:Tremellomycetes","o:Filobasidiales","f:Filobasidiaceae","g:Naganishia","s:Naganishia_albida_SH206549.07FU"
"2459","OTU68",441.648396607615,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"383","OTU15",440.882998298887,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Sporormiaceae","g:Preussia","UNKNOWN"
"2750","OTU99",439.676090632042,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1065","OTU2543",427.804824495782,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"2094","OTU46",421.931173711994,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1633","OTU3679",421.360270102742,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"207","OTU125",419.240833997326,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN"
"1396","OTU32",415.892395399368,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"659","OTU189",413.583422520947,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Sporormiaceae","g:Sporormia","UNKNOWN"
"3","OTU100",408.060483339371,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pezizaceae","g:Oedocephalum","s:Oedocephalum_adhaerens_SH012800.07FU"
"529","OTU170",407.296334143024,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Sordariales_fam_Incertae_sedis","g:Madurella","s:Madurella_fahalii_SH195386.07FU"
"236","OTU129",402.923463735101,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"140","OTU117",400.404060470162,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","UNKNOWN","UNKNOWN","UNKNOWN"
"197","OTU124",399.317328177381,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","UNKNOWN","UNKNOWN","UNKNOWN"
"807","OTU212",396.27058036139,"d:Fungi","p:Ascomycota","c:Ascomycota_cls_Incertae_sedis","o:Ascomycota_ord_Incertae_sedis","f:Ascomycota_fam_Incertae_sedis","g:Acrophialophora","UNKNOWN"
"1537","OTU3495",384.941450658749,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Lentitheciaceae","g:Darksidea","UNKNOWN"
