site,Location,Spp,Rep,SoilProcessID,   SAND,   SILT,   CLAY,pH,P_ppm,K_ppm,OM_percent,NO3_N_ppm
Ecotone_LATR_1,Ecotone,LATR,1,73,61.6,23.2,15.2,8.5,1,191,0.7,1.4
Ecotone_LATR_2,Ecotone,LATR,2,74,67.6,19.2,13.2,8.3,0,199,1,2.1
Ecotone_LATR_3,Ecotone,LATR,3,75,69.6,19.2,11.2,8.3,21,339,1.2,1.9
Ecotone_LATR_4,Ecotone,LATR,4,76,65.6,17.2,17.2,8.5,0,235,0.7,2
Ecotone_LATR_5,Ecotone,LATR,5,77,55.6,20,24.4,8.4,0,217,1,0.8
Ecotone_LATR_6,Ecotone,LATR,6,78,59.6,20,20.4,8.4,0,223,0.8,0.9
Ecotone_LATR_7,Ecotone,LATR,7,79,67.6,18,14.4,8.3,18,232,1,2.4
Ecotone_LATR_8,Ecotone,LATR,8,80,59.6,18,22.4,8.5,0,232,0.8,1.4
Ecotone_BOER_1,Ecotone,BOER,1,65,57.2,22,20.8,8.5,0,171,0.9,1
Ecotone_BOER_2,Ecotone,BOER,2,66,61.2,22,16.8,8.5,0,196,0.8,1.5
Ecotone_BOER_3,Ecotone,BOER,3,67,59.2,20,20.8,8.4,4,178,0.9,2.5
Ecotone_BOER_4,Ecotone,BOER,4,68,57.2,22,20.8,8.5,0,176,0.9,1.1
Ecotone_BOER_5,Ecotone,BOER,5,69,63.2,20,16.8,8.4,0,167,0.8,1.2
Ecotone_BOER_6,Ecotone,BOER,6,70,67.2,18,14.8,8.5,1,144,0.8,1.1
Ecotone_BOER_7,Ecotone,BOER,7,71,59.2,20,20.8,8.5,0,184,1,1.4
Ecotone_BOER_8,Ecotone,BOER,8,72,57.6,19.2,23.2,8.5,0,191,0.8,1.1
Ecotone_PLJA_1,Ecotone,PLJA,1,57,52.8,26,21.2,8.5,7,186,1,1.3
Ecotone_PLJA_2,Ecotone,PLJA,2,58,58.8,24,17.2,8.6,0,217,0.7,1
Ecotone_PLJA_3,Ecotone,PLJA,3,59,58.8,22,19.2,8.4,0,197,0.8,1.2
Ecotone_PLJA_4,Ecotone,PLJA,4,60,58.8,22,19.2,8.5,4,186,0.9,1.2
Ecotone_PLJA_5,Ecotone,PLJA,5,61,66.8,14,19.2,8.4,0,185,0.7,1.2
Ecotone_PLJA_6,Ecotone,PLJA,6,62,59.2,20,20.8,8.5,0,177,0.9,1.1
Ecotone_PLJA_7,Ecotone,PLJA,7,63,69.2,16,14.8,8.5,5,149,0.7,1.7
Ecotone_PLJA_8,Ecotone,PLJA,8,64,61.2,18,20.8,8.4,0,182,0.7,1.9
Grass_BOER_1,Grass,BOER,1,41,48,26,26,8.5,19,255,1.2,1
Grass_BOER_2,Grass,BOER,2,42,50,30,20,8.4,25,251,1.1,2.7
Grass_BOER_3,Grass,BOER,3,43,54,24,22,8.4,26,285,1.5,1.6
Grass_BOER_4,Grass,BOER,4,44,54,20,26,8.4,23,265,1.4,1.5
Grass_BOER_5,Grass,BOER,5,45,52,26,22,8.4,31,300,1.1,3.8
Grass_BOER_6,Grass,BOER,6,46,61,18.33333333,20.66666667,8.4,28,291,1.2,3.5
Grass_BOER_7,Grass,BOER,7,47,66,16.66666667,17.33333333,8.4,25,232,1,1.1
Grass_BOER_8,Grass,BOER,8,48,64.33333333,16.66666667,19,8.4,15,241,1.1,3.7
Grass_BOGR_1,Grass,BOGR,1,49,64.33333333,18.33333333,17.33333333,8.5,17,217,1.2,1.5
Grass_BOGR_2,Grass,BOGR,2,50,59.33333333,21.66666667,19,8.5,23,313,1,1.1
Grass_BOGR_3,Grass,BOGR,3,51,45.2,28,26.8,8.5,28,320,1.5,3.2
Grass_BOGR_4,Grass,BOGR,4,52,55.2,24,20.8,8.5,23,286,1,1.3
Grass_BOGR_5,Grass,BOGR,5,53,49.2,28,22.8,8.5,24,348,1.5,2.6
Grass_BOGR_6,Grass,BOGR,6,,,,,8.5,27,319,1.1,2.4
Grass_BOGR_7,Grass,BOGR,7,55,57.2,20,22.8,8.6,23,272,1,0.8
Grass_BOGR_8,Grass,BOGR,8,56,57.2,20,22.8,8.6,20,318,1.2,1.5
Grass_PLJA_1,Grass,PLJA,1,33,51.2,18,30.8,8.5,20,303,1.1,1.2
Grass_PLJA_2,Grass,PLJA,2,34,43.2,28,28.8,8.4,26,377,1.3,1.8
Grass_PLJA_3,Grass,PLJA,3,35,57.2,22,20.8,8.3,37,264,1.2,7.4
Grass_PLJA_4,Grass,PLJA,4,36,53.2,20,26.8,8.5,27,227,1,2.4
