	Domain	Phylum	Class	Order	Family	Genus	Species
OTU3163	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU1913	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU4594	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU3258	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU4692	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU4523	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU3630	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU400	d:Eukaryota_kgd_Incertae_sedis	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pezizaceae	g:Oedocephalum	s:Oedocephalum_adhaerens_SH012800.07FU
OTU846	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pezizaceae	g:Oedocephalum	s:Oedocephalum_adhaerens_SH012800.07FU
OTU2671	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Tulasnellaceae	g:Tulasnella	s:Phellinus_rimosus_SH482011.07FU
OTU2787	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Boletales	f:Boletaceae	g:Amanita	s:Laetisaria_fuciformis_SH002042.07FU
OTU2561	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Russulaceae	g:Russula	s:Armillaria_luteobubalina_SH221703.07FU
OTU3705	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Saccharomycetaceae	g:Delfinachytrium	s:Delfinachytrium_mesopotamicum_SH174910.07FU
OTU1781	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Entoloma	s:Ophiocordyceps_myrmecophila_SH211195.07FU
OTU2120	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Inocybaceae	g:Russula	s:Rhizopus_arrhizus_SH012762.07FU
OTU3576	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Globomycetaceae	g:Urceomyces	s:Urceomyces_sphaerocarpus_SH032767.07FU
OTU867	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Inocybaceae	g:Inocybe	s:Rossbeevera_eucyanea_SH209985.07FU
OTU2853	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Russulaceae	g:Russula	s:Ophiocordyceps_myrmecophila_SH211195.07FU
OTU2858	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Boletaceae	g:Conocybe	s:Flavopunctelia_soredica_SH205883.07FU
OTU1485	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Cystofilobasidiales	f:Mrakiaceae	g:Udeniomyces	s:Udeniomyces_puniceus_SH192067.07FU
OTU1923	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Boletaceae	g:Russula	s:Russula_lutensis_SH491490.07FU
OTU2983	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Glomeraceae	g:Inocybe	s:Inocybe_rhodella_SH006787.07FU
OTU4272	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Inocybaceae	g:Inocybe	s:Ganoderma_tropicum_SH187229.07FU
OTU274	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Pezizaceae	g:Hygrophorus	s:Claroideoglomus_etunicatum_SH209000.07FU
OTU1034	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	s:Rhizophagus_irregularis_SH196858.07FU
