"","sampleID","Shannon","InvSimpson","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","project","Location","Spp","Rep","site_spp","Chao1"
"1","fungi.Ecotone.BOER.1",6.7126693332809,343.605741526483,"Ecotone_BOER_1",65,57.2,22,20.8,8.5,0,171,0.9,1,"E","Boer",1,3,157,50.6,2649.97,"257","13460.3",24.68,1292.6,"transitions","Ecotone","BOER",1,"E.Boer",270.05
"2","fungi.Ecotone.BOER.2",6.14384969926177,290.274382486991,"Ecotone_BOER_2",66,61.2,22,16.8,8.5,0,196,0.8,1.5,"E","Boer",2,1.76,99.58,37.05,2099.76,"190.2","10777.96",38.61,2187.88,"transitions","Ecotone","BOER",2,"E.Boer",326.071428571429
"3","fungi.Ecotone.BOER.3",6.62916734592914,362.638327720028,"Ecotone_BOER_3",67,59.2,20,20.8,8.4,4,178,0.9,2.5,"E","Boer",3,3.45,206.7,38.47,2302.79,"150.89","9032.87",42.75,2559.47,"transitions","Ecotone","BOER",3,"E.Boer",392.666666666667
"4","fungi.Ecotone.BOER.4",6.70442428851652,432.994980788478,"Ecotone_BOER_4",68,57.2,22,20.8,8.5,0,176,0.9,1.1,"E","Boer",4,1.97,90.13,32.53,1486.95,"239.21","10935.29",14.47,661.59,"transitions","Ecotone","BOER",4,"E.Boer",487.714285714286
"5","fungi.Ecotone.BOER.5",6.818878295679,451.981431674292,"Ecotone_BOER_5",69,63.2,20,16.8,8.4,0,167,0.8,1.2,"E","Boer",5,7.44,408.56,61.17,3359.34,"140.05","7691.63",79.78,4381.76,"transitions","Ecotone","BOER",5,"E.Boer",375
"6","fungi.Ecotone.BOER.6",6.46455056001347,368.257002677211,"Ecotone_BOER_6",70,67.2,18,14.8,8.5,1,144,0.8,1.1,"E","Boer",6,3.57,249.49,38.32,2674.93,"91.05","6355.4",45.46,3173.16,"transitions","Ecotone","BOER",6,"E.Boer",386.1
"7","fungi.Ecotone.BOER.7",6.75058739625302,537.492045731159,"Ecotone_BOER_7",71,59.2,20,20.8,8.5,0,184,1,1.4,"E","Boer",7,6.86,353.72,52.46,2704.61,"200.06","10315.07",49.5,2551.98,"transitions","Ecotone","BOER",7,"E.Boer",631.5
"8","fungi.Ecotone.BOER.8",6.6733183097057,429.650922979393,"Ecotone_BOER_8",72,57.6,19.2,23.2,8.5,0,191,0.8,1.1,"E","Boer",8,2.39,127.67,29.14,1559.38,"215.34","11523.25",21.56,1153.93,"transitions","Ecotone","BOER",8,"E.Boer",425.833333333333
"9","fungi.Ecotone.LATR.1",6.26274242401859,281.011895936727,"Ecotone_LATR_1",73,61.6,23.2,15.2,8.5,1,191,0.7,1.4,"E","Latr",1,3.76,194.75,59.14,3064.45,"183.84","9525.28",45.22,2342.88,"transitions","Ecotone","LATR",1,"E.Latr",289.888888888889
"10","fungi.Ecotone.LATR.2",6.48870648715606,321.068916010809,"Ecotone_LATR_2",74,67.6,19.2,13.2,8.3,0,199,1,2.1,"E","Latr",2,3.52,170.08,34.99,1692.05,"110.85","5360.3",35.03,1693.75,"transitions","Ecotone","LATR",2,"E.Latr",305.772727272727
"11","fungi.Ecotone.LATR.3",6.41927288380534,293.690321724086,"Ecotone_LATR_3",75,69.6,19.2,11.2,8.3,21,339,1.2,1.9,"E","Latr",3,5.08,221.97,69.35,3029.41,"89.78","3921.88",71.82,3137.35,"transitions","Ecotone","LATR",3,"E.Latr",328.375
"12","fungi.Ecotone.LATR.4",6.36838554400997,326.528271546601,"Ecotone_LATR_4",76,65.6,17.2,17.2,8.5,0,235,0.7,2,"E","Latr",4,3.02,187.93,71.17,4424.06,"194.76","12107.4",40.69,2529.4,"transitions","Ecotone","LATR",4,"E.Latr",377.153846153846
"13","fungi.Ecotone.LATR.5",6.52097565905136,346.683614905581,"Ecotone_LATR_5",77,55.6,20,24.4,8.4,0,217,1,0.8,"E","Latr",5,1.72,102.5,31.62,1887.3,"192.79","11508.77",20.47,1222.06,"transitions","Ecotone","LATR",5,"E.Latr",364.25
"14","fungi.Ecotone.LATR.6",6.38952236720641,269.075875900969,"Ecotone_LATR_6",78,59.6,20,20.4,8.4,0,223,0.8,0.9,"E","Latr",6,2.18,112.94,41.44,2151.36,"181.86","9440.49",34.46,1788.72,"transitions","Ecotone","LATR",6,"E.Latr",221
"15","fungi.Ecotone.LATR.7",6.5677256589277,474.081190906192,"Ecotone_LATR_7",79,67.6,18,14.4,8.3,18,232,1,2.4,"E","Latr",7,5.25,316.22,65.55,3948.67,"62.24","3749.33",72.27,4353.8,"transitions","Ecotone","LATR",7,"E.Latr",511.692307692308
"16","fungi.Ecotone.LATR.8",6.68564797417639,343.347426999686,"Ecotone_LATR_8",80,59.6,18,22.4,8.5,0,232,0.8,1.4,"E","Latr",8,3.07,197.11,23.22,1491.94,"144.69","9298.34",21.24,1365.2,"transitions","Ecotone","LATR",8,"E.Latr",335.071428571429
"17","fungi.Ecotone.PLJA.1",6.56532589130825,307.290895091847,"Ecotone_PLJA_1",57,52.8,26,21.2,8.5,7,186,1,1.3,"E","Plja",1,3.58,204.55,37.08,2119.37,"252.38","14424.73",26.16,1495.16,"transitions","Ecotone","PLJA",1,"E.Plja",370.3
"18","fungi.Ecotone.PLJA.2",6.70724659960418,374.066960799684,"Ecotone_PLJA_2",58,58.8,24,17.2,8.6,0,217,0.7,1,"E","Plja",2,1.08,70.39,21.4,1393.17,"166.28","10826.29",16.85,1096.86,"transitions","Ecotone","PLJA",2,"E.Plja",339.882352941176
"19","fungi.Ecotone.PLJA.3",6.42718367644669,312.38202763245,"Ecotone_PLJA_3",59,58.8,22,19.2,8.4,0,197,0.8,1.2,"E","Plja",3,2.14,113.4,31.5,1666.28,"161.18","8525.79",33.64,1779.59,"transitions","Ecotone","PLJA",3,"E.Plja",307.153846153846
"20","fungi.Ecotone.PLJA.4",6.35509209986981,319.544568889424,"Ecotone_PLJA_4",60,58.8,22,19.2,8.5,4,186,0.9,1.2,"E","Plja",4,4.12,263.92,134.67,8625.86,"213.43","13670.82",28.26,1810.26,"transitions","Ecotone","PLJA",4,"E.Plja",345
"21","fungi.Ecotone.PLJA.5",6.62581514412048,384.1242162322,"Ecotone_PLJA_5",61,66.8,14,19.2,8.4,0,185,0.7,1.2,"E","Plja",5,8.49,504.08,71.1,4220.09,"131.62","7812.46",92.21,5472.87,"transitions","Ecotone","PLJA",5,"E.Plja",371.272727272727
"22","fungi.Ecotone.PLJA.6",6.76473635055534,468.894620276803,"Ecotone_PLJA_6",62,59.2,20,20.8,8.5,0,177,0.9,1.1,"E","Plja",6,4.44,245.52,41.94,2320.53,"169.06","9353.45",44.49,2461.71,"transitions","Ecotone","PLJA",6,"E.Plja",539.15
