"","variable","Guild_comb","value","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","sampleID","project","Location","Spp","Rep","site_spp"
"1","fungi.Ecotone.BOER.1","Arbuscular Mycorrhizal",77.7870540566745,"Ecotone_BOER_1",65,57.2,22,20.8,8.5,0,171,0.9,1,"E","Boer",1,3,157,50.6,2649.97,"257","13460.3",24.68,1292.6,"fungi.Ecotone.BOER.1","transitions","Ecotone","BOER",1,"E.Boer"
"2","fungi.Ecotone.BOER.1","Endophyte",16.9118583858903,"Ecotone_BOER_1",65,57.2,22,20.8,8.5,0,171,0.9,1,"E","Boer",1,3,157,50.6,2649.97,"257","13460.3",24.68,1292.6,"fungi.Ecotone.BOER.1","transitions","Ecotone","BOER",1,"E.Boer"
"3","fungi.Ecotone.BOER.1","Plant Pathogen",31.7967917458835,"Ecotone_BOER_1",65,57.2,22,20.8,8.5,0,171,0.9,1,"E","Boer",1,3,157,50.6,2649.97,"257","13460.3",24.68,1292.6,"fungi.Ecotone.BOER.1","transitions","Ecotone","BOER",1,"E.Boer"
"4","fungi.Ecotone.BOER.1","Saprotroph",112.959468003509,"Ecotone_BOER_1",65,57.2,22,20.8,8.5,0,171,0.9,1,"E","Boer",1,3,157,50.6,2649.97,"257","13460.3",24.68,1292.6,"fungi.Ecotone.BOER.1","transitions","Ecotone","BOER",1,"E.Boer"
"5","fungi.Ecotone.BOER.2","Arbuscular Mycorrhizal",216.443745699062,"Ecotone_BOER_2",66,61.2,22,16.8,8.5,0,196,0.8,1.5,"E","Boer",2,1.76,99.58,37.05,2099.76,"190.2","10777.96",38.61,2187.88,"fungi.Ecotone.BOER.2","transitions","Ecotone","BOER",2,"E.Boer"
"6","fungi.Ecotone.BOER.2","Endophyte",25.6281956608036,"Ecotone_BOER_2",66,61.2,22,16.8,8.5,0,196,0.8,1.5,"E","Boer",2,1.76,99.58,37.05,2099.76,"190.2","10777.96",38.61,2187.88,"fungi.Ecotone.BOER.2","transitions","Ecotone","BOER",2,"E.Boer"
"7","fungi.Ecotone.BOER.2","Plant Pathogen",66.8657706852238,"Ecotone_BOER_2",66,61.2,22,16.8,8.5,0,196,0.8,1.5,"E","Boer",2,1.76,99.58,37.05,2099.76,"190.2","10777.96",38.61,2187.88,"fungi.Ecotone.BOER.2","transitions","Ecotone","BOER",2,"E.Boer"
"8","fungi.Ecotone.BOER.2","Saprotroph",322.717326348735,"Ecotone_BOER_2",66,61.2,22,16.8,8.5,0,196,0.8,1.5,"E","Boer",2,1.76,99.58,37.05,2099.76,"190.2","10777.96",38.61,2187.88,"fungi.Ecotone.BOER.2","transitions","Ecotone","BOER",2,"E.Boer"
"9","fungi.Ecotone.BOER.3","Arbuscular Mycorrhizal",88.4640193740275,"Ecotone_BOER_3",67,59.2,20,20.8,8.4,4,178,0.9,2.5,"E","Boer",3,3.45,206.7,38.47,2302.79,"150.89","9032.87",42.75,2559.47,"fungi.Ecotone.BOER.3","transitions","Ecotone","BOER",3,"E.Boer"
"10","fungi.Ecotone.BOER.3","Endophyte",16.3574309986583,"Ecotone_BOER_3",67,59.2,20,20.8,8.4,4,178,0.9,2.5,"E","Boer",3,3.45,206.7,38.47,2302.79,"150.89","9032.87",42.75,2559.47,"fungi.Ecotone.BOER.3","transitions","Ecotone","BOER",3,"E.Boer"
"11","fungi.Ecotone.BOER.3","Plant Pathogen",51.1610234624402,"Ecotone_BOER_3",67,59.2,20,20.8,8.4,4,178,0.9,2.5,"E","Boer",3,3.45,206.7,38.47,2302.79,"150.89","9032.87",42.75,2559.47,"fungi.Ecotone.BOER.3","transitions","Ecotone","BOER",3,"E.Boer"
"12","fungi.Ecotone.BOER.3","Saprotroph",136.564592541236,"Ecotone_BOER_3",67,59.2,20,20.8,8.4,4,178,0.9,2.5,"E","Boer",3,3.45,206.7,38.47,2302.79,"150.89","9032.87",42.75,2559.47,"fungi.Ecotone.BOER.3","transitions","Ecotone","BOER",3,"E.Boer"
"13","fungi.Ecotone.BOER.4","Arbuscular Mycorrhizal",116.609615130547,"Ecotone_BOER_4",68,57.2,22,20.8,8.5,0,176,0.9,1.1,"E","Boer",4,1.97,90.13,32.53,1486.95,"239.21","10935.29",14.47,661.59,"fungi.Ecotone.BOER.4","transitions","Ecotone","BOER",4,"E.Boer"
"14","fungi.Ecotone.BOER.4","Endophyte",19.0820556336987,"Ecotone_BOER_4",68,57.2,22,20.8,8.5,0,176,0.9,1.1,"E","Boer",4,1.97,90.13,32.53,1486.95,"239.21","10935.29",14.47,661.59,"fungi.Ecotone.BOER.4","transitions","Ecotone","BOER",4,"E.Boer"
"15","fungi.Ecotone.BOER.4","Plant Pathogen",55.2722692416803,"Ecotone_BOER_4",68,57.2,22,20.8,8.5,0,176,0.9,1.1,"E","Boer",4,1.97,90.13,32.53,1486.95,"239.21","10935.29",14.47,661.59,"fungi.Ecotone.BOER.4","transitions","Ecotone","BOER",4,"E.Boer"
