#SampleID	funct_grp	site	host_sp	rep
bact.Ecotone.BOER.1	bact	Ecotone	BOER	1
bact.Ecotone.BOER.2	bact	Ecotone	BOER	2
bact.Ecotone.BOER.3	bact	Ecotone	BOER	3
bact.Ecotone.BOER.4	bact	Ecotone	BOER	4
bact.Ecotone.BOER.5	bact	Ecotone	BOER	5
bact.Ecotone.BOER.6	bact	Ecotone	BOER	6
bact.Ecotone.BOER.7	bact	Ecotone	BOER	7
bact.Ecotone.BOER.8	bact	Ecotone	BOER	8
bact.Ecotone.LATR.1	bact	Ecotone	LATR	1
bact.Ecotone.LATR.2	bact	Ecotone	LATR	2
bact.Ecotone.LATR.3	bact	Ecotone	LATR	3
bact.Ecotone.LATR.5	bact	Ecotone	LATR	5
bact.Ecotone.LATR.6	bact	Ecotone	LATR	6
bact.Ecotone.LATR.7	bact	Ecotone	LATR	7
bact.Ecotone.LATR.8	bact	Ecotone	LATR	8
bact.Ecotone.PLJA.1	bact	Ecotone	PLJA	1
bact.Ecotone.PLJA.2	bact	Ecotone	PLJA	2
bact.Ecotone.PLJA.3	bact	Ecotone	PLJA	3
bact.Ecotone.PLJA.4	bact	Ecotone	PLJA	4
bact.Ecotone.PLJA.5	bact	Ecotone	PLJA	5
bact.Ecotone.PLJA.6	bact	Ecotone	PLJA	6
bact.Ecotone.PLJA.8	bact	Ecotone	PLJA	8
bact.Grass.BOER.1	bact	Grass	BOER	1
bact.Grass.BOER.2	bact	Grass	BOER	2
bact.Grass.BOER.3	bact	Grass	BOER	3
bact.Grass.BOER.4	bact	Grass	BOER	4
bact.Grass.BOER.5	bact	Grass	BOER	5
bact.Grass.BOER.6	bact	Grass	BOER	6
bact.Grass.BOER.7	bact	Grass	BOER	7
bact.Grass.BOER.8	bact	Grass	BOER	8
bact.Grass.BOGR.1	bact	Grass	BOGR	1
bact.Grass.BOGR.2	bact	Grass	BOGR	2
bact.Grass.BOGR.3	bact	Grass	BOGR	3
bact.Grass.BOGR.4	bact	Grass	BOGR	4
bact.Grass.BOGR.5	bact	Grass	BOGR	5
bact.Grass.BOGR.6	bact	Grass	BOGR	6
bact.Grass.BOGR.7	bact	Grass	BOGR	7
bact.Grass.BOGR.8	bact	Grass	BOGR	8
bact.Grass.PLJA.1	bact	Grass	PLJA	1
bact.Grass.PLJA.2	bact	Grass	PLJA	2
bact.Grass.PLJA.3	bact	Grass	PLJA	3
bact.Grass.PLJA.4	bact	Grass	PLJA	4
bact.Grass.PLJA.5	bact	Grass	PLJA	5
bact.Grass.PLJA.6	bact	Grass	PLJA	6
bact.Grass.PLJA.7	bact	Grass	PLJA	7
bact.Grass.PLJA.8	bact	Grass	PLJA	8
bact.SPEGAR.ARPU.1A	bact	SPEGAR	ARPU	1A
bact.SPEGAR.ARPU.1B	bact	SPEGAR	ARPU	1B
bact.SPEGAR.ARPU.2A	bact	SPEGAR	ARPU	2A
bact.SPEGAR.ARPU.2B	bact	SPEGAR	ARPU	2B
bact.SPEGAR.ARPU.3A	bact	SPEGAR	ARPU	3A
bact.SPEGAR.ARPU.3B	bact	SPEGAR	ARPU	3B
bact.SPEGAR.ARPU.4A	bact	SPEGAR	ARPU	4A
bact.SPEGAR.ARPU.4B	bact	SPEGAR	ARPU	4B
bact.SPEGAR.BOER.1A	bact	SPEGAR	BOER	1A
bact.SPEGAR.BOER.1B	bact	SPEGAR	BOER	1B
bact.SPEGAR.BOER.2A	bact	SPEGAR	BOER	2A
bact.SPEGAR.BOER.2B	bact	SPEGAR	BOER	2B
bact.SPEGAR.BOER.3A	bact	SPEGAR	BOER	3A
bact.SPEGAR.BOER.3B	bact	SPEGAR	BOER	3B
bact.SPEGAR.BOER.4A	bact	SPEGAR	BOER	4A
bact.SPEGAR.BOER.4B	bact	SPEGAR	BOER	4B
bact.SPEGAR.BOGR.1A	bact	SPEGAR	BOGR	1A
bact.SPEGAR.BOGR.1B	bact	SPEGAR	BOGR	1B
bact.SPEGAR.BOGR.2A	bact	SPEGAR	BOGR	2A
bact.SPEGAR.BOGR.2B	bact	SPEGAR	BOGR	2B
bact.SPEGAR.BOGR.3A	bact	SPEGAR	BOGR	3A
bact.SPEGAR.BOGR.3B	bact	SPEGAR	BOGR	3B
bact.SPEGAR.BOGR.4A	bact	SPEGAR	BOGR	4A
bact.SPEGAR.BOGR.4B	bact	SPEGAR	BOGR	4B
bact.SPEGAR.PLJA.1A	bact	SPEGAR	PLJA	1A
bact.SPEGAR.PLJA.1B	bact	SPEGAR	PLJA	1B
bact.SPEGAR.PLJA.2A	bact	SPEGAR	PLJA	2A
bact.SPEGAR.PLJA.2B	bact	SPEGAR	PLJA	2B
bact.SPEGAR.PLJA.3A	bact	SPEGAR	PLJA	3A
bact.SPEGAR.PLJA.3B	bact	SPEGAR	PLJA	3B
bact.SPEGAR.PLJA.4A	bact	SPEGAR	PLJA	4A
bact.SPEGAR.PLJA.4B	bact	SPEGAR	PLJA	4B
bact.Shrub.LATR.1	bact	Shrub	LATR	1
bact.Shrub.LATR.3	bact	Shrub	LATR	3
bact.Shrub.LATR.4	bact	Shrub	LATR	4
bact.Shrub.LATR.5	bact	Shrub	LATR	5
bact.Shrub.LATR.6	bact	Shrub	LATR	6
bact.Shrub.LATR.7	bact	Shrub	LATR	7
bact.Shrub.LATR.8	bact	Shrub	LATR	8
bact.Shurb.LATR.2	bact	Shurb	LATR	2
bact.mock1	bact	mock		1
bact.mock2	bact	mock		2
fungi.Ecotone.BOER.1	fungi	Ecotone	BOER	1
fungi.Ecotone.BOER.2	fungi	Ecotone	BOER	2
fungi.Ecotone.BOER.3	fungi	Ecotone	BOER	3
fungi.Ecotone.BOER.4	fungi	Ecotone	BOER	4
fungi.Ecotone.BOER.5	fungi	Ecotone	BOER	5
fungi.Ecotone.BOER.6	fungi	Ecotone	BOER	6
fungi.Ecotone.BOER.7	fungi	Ecotone	BOER	7
fungi.Ecotone.BOER.8	fungi	Ecotone	BOER	8
fungi.Ecotone.LATR.1	fungi	Ecotone	LATR	1
fungi.Ecotone.LATR.2	fungi	Ecotone	LATR	2
fungi.Ecotone.LATR.3	fungi	Ecotone	LATR	3
fungi.Ecotone.LATR.4	fungi	Ecotone	LATR	4
fungi.Ecotone.LATR.5	fungi	Ecotone	LATR	5
fungi.Ecotone.LATR.6	fungi	Ecotone	LATR	6
fungi.Ecotone.LATR.7	fungi	Ecotone	LATR	7
fungi.Ecotone.LATR.8	fungi	Ecotone	LATR	8
fungi.Ecotone.PLJA.1	fungi	Ecotone	PLJA	1
fungi.Ecotone.PLJA.2	fungi	Ecotone	PLJA	2
fungi.Ecotone.PLJA.3	fungi	Ecotone	PLJA	3
fungi.Ecotone.PLJA.4	fungi	Ecotone	PLJA	4
fungi.Ecotone.PLJA.5	fungi	Ecotone	PLJA	5
fungi.Ecotone.PLJA.6	fungi	Ecotone	PLJA	6
fungi.Ecotone.PLJA.7	fungi	Ecotone	PLJA	7
fungi.Ecotone.PLJA.8	fungi	Ecotone	PLJA	8
fungi.Grass.BOER.1	fungi	Grass	BOER	1
fungi.Grass.BOER.2	fungi	Grass	BOER	2
fungi.Grass.BOER.3	fungi	Grass	BOER	3
fungi.Grass.BOER.4	fungi	Grass	BOER	4
fungi.Grass.BOER.5	fungi	Grass	BOER	5
fungi.Grass.BOER.6	fungi	Grass	BOER	6
fungi.Grass.BOER.7	fungi	Grass	BOER	7
fungi.Grass.BOER.8	fungi	Grass	BOER	8
fungi.Grass.BOGR.1	fungi	Grass	BOGR	1
fungi.Grass.BOGR.2	fungi	Grass	BOGR	2
fungi.Grass.BOGR.3	fungi	Grass	BOGR	3
fungi.Grass.BOGR.4	fungi	Grass	BOGR	4
fungi.Grass.BOGR.5	fungi	Grass	BOGR	5
fungi.Grass.BOGR.6	fungi	Grass	BOGR	6
fungi.Grass.BOGR.7	fungi	Grass	BOGR	7
fungi.Grass.BOGR.8	fungi	Grass	BOGR	8
fungi.Grass.PLJA.1	fungi	Grass	PLJA	1
fungi.Grass.PLJA.2	fungi	Grass	PLJA	2
fungi.Grass.PLJA.3	fungi	Grass	PLJA	3
fungi.Grass.PLJA.4	fungi	Grass	PLJA	4
fungi.Grass.PLJA.5	fungi	Grass	PLJA	5
fungi.Grass.PLJA.6	fungi	Grass	PLJA	6
fungi.Grass.PLJA.7	fungi	Grass	PLJA	7
fungi.Grass.PLJA.8	fungi	Grass	PLJA	8
fungi.SPEGAR.ARPU.1A	fungi	SPEGAR	ARPU	1A
fungi.SPEGAR.ARPU.1B	fungi	SPEGAR	ARPU	1B
