"","Row.names","NMDS1","NMDS2","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","OTU1",0.0489890215164323,-0.024955711422808,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unk"
"2","OTU100",0.24831338175399,-0.0317836982848888,"Fungi","Ascomycota","Pezizomycetes","Pezizales","dummy_family_Oedocephalum","Oedocephalum","unk"
"3","OTU1001",0.429586377585418,-0.227931617313876,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Pseudoseptoria","unk"
"4","OTU1002",0.595514186284081,-0.108212000833005,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"5","OTU1005",0.431554841470218,-0.21547067002243,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"6","OTU1006",-0.0765266240354725,-0.286406847738458,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","Montagnula","unk"
"7","OTU1007",-0.000894830019047077,-0.044647044888981,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"8","OTU1009",0.261555122343924,-0.136594420246723,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","unk"
"9","OTU101",0.320535039962954,-0.333837705285199,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum"
"10","OTU1011",0.141762754980238,-0.319040320480748,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unk"
"11","OTU1014",-0.386852352712081,-0.0900923407269388,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"12","OTU1015",0.0208126463062581,0.147425924835717,"Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","unk"
"13","OTU1018",-0.0878533800697524,0.234587833065311,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","unk"
"14","OTU1019",0.0463771893500433,0.0472018523118746,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia","unk"
"15","OTU102",0.156378348120891,-0.294114197067817,"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","unk"
"16","OTU1020",-0.2548123654542,-0.125125443508237,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","unk"
"17","OTU1021",0.120895051897468,-0.0177990671530017,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unk"
"18","OTU1022",0.0593265467764916,-0.326911848957041,"Fungi","Glomeromycota","unk","unk","unk","unk","unk"
"19","OTU1023",0.342452248474705,-0.434228031387795,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","unk"
"20","OTU1024",0.0768684012153034,-0.186843306124282,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"21","OTU1025",-0.0592394432078935,0.0126456616917217,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unk"
"22","OTU1028",0.301800234116574,0.364565455899518,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","unk"
"23","OTU103",0.159841494847295,-0.0491679264374668,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unk"
"24","OTU1030",0.00916192722190637,0.0483991052957217,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unk"
"25","OTU1031",0.100678869802395,0.0682843984544025,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","unk"
"26","OTU1032",-0.214746669564893,-0.17860931949544,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","unk"
"27","OTU1033",-0.154206931629928,0.119013879207753,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unk"
"28","OTU1035",0.0296972208656134,-0.343773829772052,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scopulariopsis","unk"
"29","OTU1036",0.252201979953915,0.173355399738302,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk"
"30","OTU1039",-0.000746510512175294,-0.145574815748054,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","unk"
"31","OTU104",-0.015033115372418,0.00914111559623724,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","unk"
"32","OTU1040",0.277828283330781,-0.390551245088709,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Gloeosporium","unk"
"33","OTU1041",-0.15439432018643,0.164351870846342,"Fungi","Ascomycota","dummy_class_Trullula","dummy_order_Trullula","dummy_family_Trullula","Trullula","unk"
"34","OTU1042",0.39995260035889,0.395411707222628,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","unk"
"35","OTU1043",0.123378535575431,0.0331346021797612,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","unk"
"36","OTU1044",0.0491632008098959,-0.375033407105665,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Volvariella","unk"
"37","OTU105",-0.197681322005713,-0.0767227079691014,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"38","OTU1050",0.0500173023796788,-0.385024299500294,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","unk"
"39","OTU1051",-0.0435194671822324,0.0361465854285099,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"40","OTU1053",0.00891857275646193,-0.162170480029405,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"41","OTU1055",-0.0351604532010428,0.282483612326702,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"42","OTU1056",0.0787973614732023,0.0982944214768161,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","unk"
"43","OTU1058",0.0672297559261809,0.242879370846996,"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicoma","unk"
"44","OTU106",0.0680172740173586,-0.362726356225053,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","unk"
"45","OTU1060",0.189515649863911,-0.0725326903741196,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"46","OTU1061",0.237843954416274,-0.20160634063184,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Aspergillus_luppii"
"47","OTU1062",-0.129916114232442,0.0188934390340577,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella","unk"
"48","OTU1063",0.352982260095676,-0.428341820537497,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"49","OTU1064",-0.221409591864607,-0.111204174871239,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae"
"50","OTU1066",0.4963650628298,-0.435261645471666,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
"51","OTU1067",0.336478362143833,-0.385848222919668,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"52","OTU1068",-0.0750219720320302,0.124406390960634,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Monosporascus","unk"
"53","OTU107",-0.078202035799983,-0.0152577127476535,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","dummy_family_Myrothecium","Myrothecium","Myrothecium_atroviride"
"54","OTU1070",0.180169762091832,-0.353907705740502,"Fungi","Zygomycota","dummy_class_Mortierellales","Mortierellales","Mortierellaceae","Mortierella","unk"
"55","OTU1071",0.176573515170283,-0.182258822067207,"Fungi","Zygomycota","dummy_class_Mucorales","Mucorales","Mucoraceae","Mucor","Mucor_circinelloides"
"56","OTU1072",-0.196583058542833,-0.0142164280993634,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk"
"57","OTU1073",-0.129916114232442,0.0188934390340577,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotrys","Stachybotrys_elegans"
"58","OTU1074",-0.195172330424166,0.130086860776775,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","dummy_family_Pseudotaeniolina","Pseudotaeniolina","unk"
"59","OTU1077",0.0406099690343766,0.306794941478222,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Stagonospora","unk"
"60","OTU1078",-0.303484273838296,-0.169656798394733,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","unk"
"61","OTU1079",-0.390364592274452,-0.0293379881891178,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Exidia","unk"
"62","OTU108",-0.0432647752585238,-0.259028943725781,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"63","OTU1080",0.178574842570543,0.0162063610345098,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"64","OTU1083",-0.118671698426095,0.014489694001575,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"65","OTU1084",0.191318064132799,0.0171998919469242,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","unk"
"66","OTU1085",-0.385126066146645,-0.0446784437194781,"Fungi","Ascomycota","dummy_class_Hansfordia","dummy_order_Hansfordia","dummy_family_Hansfordia","Hansfordia","unk"
"67","OTU1086",0.395133448171529,-0.291509845357331,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"68","OTU1087",-0.0092453493490816,0.268898198574553,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"69","OTU1088",0.732347411031987,0.38868388318719,"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","unk"
"70","OTU1089",-0.095262261423027,-0.0884259446944843,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
"71","OTU109",-0.0742825196517144,-0.0728779751386847,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unk"
"72","OTU1090",0.0512184540367094,-0.0463256618702709,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","unk"
"73","OTU1091",0.51841407084024,0.221754300349951,"Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces","unk"
"74","OTU1092",0.137842986109808,-0.141090549999903,"Fungi","Zygomycota","dummy_class_Mucorales","Mucorales","Mucoraceae","Mucor","Mucor_racemosus"
