sampleID,project,site,Location,Spp,Rep
fungi.Ecotone.BOER.1,transitions,Ecotone_BOER_1,Ecotone,BOER,1
fungi.Ecotone.BOER.2,transitions,Ecotone_BOER_2,Ecotone,BOER,2
fungi.Ecotone.BOER.3,transitions,Ecotone_BOER_3,Ecotone,BOER,3
fungi.Ecotone.BOER.4,transitions,Ecotone_BOER_4,Ecotone,BOER,4
fungi.Ecotone.BOER.5,transitions,Ecotone_BOER_5,Ecotone,BOER,5
fungi.Ecotone.BOER.6,transitions,Ecotone_BOER_6,Ecotone,BOER,6
fungi.Ecotone.BOER.7,transitions,Ecotone_BOER_7,Ecotone,BOER,7
fungi.Ecotone.BOER.8,transitions,Ecotone_BOER_8,Ecotone,BOER,8
fungi.Ecotone.LATR.1,transitions,Ecotone_LATR_1,Ecotone,LATR,1
fungi.Ecotone.LATR.2,transitions,Ecotone_LATR_2,Ecotone,LATR,2
fungi.Ecotone.LATR.3,transitions,Ecotone_LATR_3,Ecotone,LATR,3
fungi.Ecotone.LATR.4,transitions,Ecotone_LATR_4,Ecotone,LATR,4
fungi.Ecotone.LATR.5,transitions,Ecotone_LATR_5,Ecotone,LATR,5
fungi.Ecotone.LATR.6,transitions,Ecotone_LATR_6,Ecotone,LATR,6
fungi.Ecotone.LATR.7,transitions,Ecotone_LATR_7,Ecotone,LATR,7
fungi.Ecotone.LATR.8,transitions,Ecotone_LATR_8,Ecotone,LATR,8
fungi.Ecotone.PLJA.1,transitions,Ecotone_PLJA_1,Ecotone,PLJA,1
fungi.Ecotone.PLJA.2,transitions,Ecotone_PLJA_2,Ecotone,PLJA,2
fungi.Ecotone.PLJA.3,transitions,Ecotone_PLJA_3,Ecotone,PLJA,3
fungi.Ecotone.PLJA.4,transitions,Ecotone_PLJA_4,Ecotone,PLJA,4
fungi.Ecotone.PLJA.5,transitions,Ecotone_PLJA_5,Ecotone,PLJA,5
fungi.Ecotone.PLJA.6,transitions,Ecotone_PLJA_6,Ecotone,PLJA,6
fungi.Ecotone.PLJA.7,transitions,Ecotone_PLJA_7,Ecotone,PLJA,7
fungi.Ecotone.PLJA.8,transitions,Ecotone_PLJA_8,Ecotone,PLJA,8
fungi.Grass.BOER.1,transitions,Grass_BOER_1,Grass,BOER,1
fungi.Grass.BOER.2,transitions,Grass_BOER_2,Grass,BOER,2
fungi.Grass.BOER.3,transitions,Grass_BOER_3,Grass,BOER,3
fungi.Grass.BOER.4,transitions,Grass_BOER_4,Grass,BOER,4
fungi.Grass.BOER.5,transitions,Grass_BOER_5,Grass,BOER,5
fungi.Grass.BOER.6,transitions,Grass_BOER_6,Grass,BOER,6
fungi.Grass.BOER.7,transitions,Grass_BOER_7,Grass,BOER,7
fungi.Grass.BOER.8,transitions,Grass_BOER_8,Grass,BOER,8
fungi.Grass.BOGR.1,transitions,Grass_BOGR_1,Grass,BOGR,1
fungi.Grass.BOGR.2,transitions,Grass_BOGR_2,Grass,BOGR,2
fungi.Grass.BOGR.3,transitions,Grass_BOGR_3,Grass,BOGR,3
fungi.Grass.BOGR.4,transitions,Grass_BOGR_4,Grass,BOGR,4
fungi.Grass.BOGR.5,transitions,Grass_BOGR_5,Grass,BOGR,5
fungi.Grass.BOGR.6,transitions,Grass_BOGR_6,Grass,BOGR,6
fungi.Grass.BOGR.7,transitions,Grass_BOGR_7,Grass,BOGR,7
fungi.Grass.BOGR.8,transitions,Grass_BOGR_8,Grass,BOGR,8
fungi.Grass.PLJA.1,transitions,Grass_PLJA_1,Grass,PLJA,1
fungi.Grass.PLJA.2,transitions,Grass_PLJA_2,Grass,PLJA,2
fungi.Grass.PLJA.3,transitions,Grass_PLJA_3,Grass,PLJA,3
fungi.Grass.PLJA.4,transitions,Grass_PLJA_4,Grass,PLJA,4
fungi.Grass.PLJA.5,transitions,Grass_PLJA_5,Grass,PLJA,5
fungi.Grass.PLJA.6,transitions,Grass_PLJA_6,Grass,PLJA,6
fungi.Grass.PLJA.7,transitions,Grass_PLJA_7,Grass,PLJA,7
fungi.Grass.PLJA.8,transitions,Grass_PLJA_8,Grass,PLJA,8
fungi.Shrub.LATR.1,transitions,Shrub_LATR_1,Shrub,LATR,1
fungi.Shrub.LATR.2,transitions,Shrub_LATR_2,Shrub,LATR,2
fungi.Shrub.LATR.3,transitions,Shrub_LATR_3,Shrub,LATR,3
fungi.Shrub.LATR.4,transitions,Shrub_LATR_4,Shrub,LATR,4
fungi.Shrub.LATR.5,transitions,Shrub_LATR_5,Shrub,LATR,5
fungi.Shrub.LATR.6,transitions,Shrub_LATR_6,Shrub,LATR,6
fungi.Shrub.LATR.7,transitions,Shrub_LATR_7,Shrub,LATR,7
fungi.Shrub.LATR.8,transitions,Shrub_LATR_8,Shrub,LATR,8
fungi.mock1,mock_com,,,,
fungi.mock2,mock_com,,,,
fungi.SPEGAR.ARPU.1A,spegar,,,,
fungi.SPEGAR.ARPU.1B,spegar,,,,
fungi.SPEGAR.ARPU.2A,spegar,,,,
fungi.SPEGAR.ARPU.2B,spegar,,,,
fungi.SPEGAR.ARPU.3A,spegar,,,,
fungi.SPEGAR.ARPU.3B,spegar,,,,
fungi.SPEGAR.ARPU.4A,spegar,,,,
fungi.SPEGAR.ARPU.4B,spegar,,,,
fungi.SPEGAR.BOER.1A,spegar,,,,
fungi.SPEGAR.BOER.1B,spegar,,,,
fungi.SPEGAR.BOER.2A,spegar,,,,
fungi.SPEGAR.BOER.2B,spegar,,,,
fungi.SPEGAR.BOER.3A,spegar,,,,
fungi.SPEGAR.BOER.3B,spegar,,,,
fungi.SPEGAR.BOER.4A,spegar,,,,
fungi.SPEGAR.BOER.4B,spegar,,,,
fungi.SPEGAR.BOGR.1A,spegar,,,,
fungi.SPEGAR.BOGR.1B,spegar,,,,
fungi.SPEGAR.BOGR.2A,spegar,,,,
fungi.SPEGAR.BOGR.2B,spegar,,,,
fungi.SPEGAR.BOGR.3A,spegar,,,,
fungi.SPEGAR.BOGR.3B,spegar,,,,
fungi.SPEGAR.BOGR.4A,spegar,,,,
fungi.SPEGAR.BOGR.4B,spegar,,,,
fungi.SPEGAR.PLJA.1A,spegar,,,,
fungi.SPEGAR.PLJA.1B,spegar,,,,
fungi.SPEGAR.PLJA.2A,spegar,,,,
fungi.SPEGAR.PLJA.2B,spegar,,,,
fungi.SPEGAR.PLJA.3A,spegar,,,,
fungi.SPEGAR.PLJA.3B,spegar,,,,
fungi.SPEGAR.PLJA.4A,spegar,,,,
fungi.SPEGAR.PLJA.4B,spegar,,,,
