"fungi.Grass.BOGR.1" "fungi.Ecotone.LATR.8" "fungi.Ecotone.PLJA.8" "fungi.Ecotone.PLJA.1" "fungi.Grass.BOER.4" "fungi.Grass.BOER.7" "fungi.Grass.PLJA.6" "fungi.Ecotone.LATR.5" "fungi.Shrub.LATR.8" "fungi.Grass.BOGR.7" "fungi.Ecotone.BOER.7" "fungi.Ecotone.PLJA.5" "fungi.Ecotone.BOER.4" "fungi.Ecotone.LATR.4" "fungi.Grass.PLJA.1" "fungi.Grass.PLJA.5" "fungi.Grass.BOGR.4" "fungi.Ecotone.PLJA.3" "fungi.Grass.BOGR.5" "fungi.Shrub.LATR.3" "fungi.Ecotone.BOER.8" "fungi.Ecotone.LATR.6" "fungi.Ecotone.BOER.3" "fungi.Grass.BOER.6" "fungi.Grass.PLJA.2" "fungi.Shrub.LATR.7" "fungi.Shrub.LATR.5" "fungi.Grass.BOER.5" "fungi.Ecotone.LATR.2" "fungi.Shrub.LATR.6" "fungi.Ecotone.LATR.3" "fungi.Ecotone.LATR.7" "fungi.Ecotone.PLJA.7" "fungi.Ecotone.BOER.2" "fungi.Grass.BOGR.3" "fungi.Shrub.LATR.2" "fungi.Shrub.LATR.4" "fungi.Ecotone.BOER.1" "fungi.Ecotone.BOER.5" "fungi.Grass.PLJA.7" "fungi.Grass.BOER.2" "fungi.Grass.BOGR.8" "fungi.Grass.BOGR.6" "fungi.Ecotone.BOER.6" "fungi.Grass.PLJA.8" "fungi.Grass.BOGR.2" "fungi.Grass.BOER.8" "fungi.Grass.PLJA.3" "fungi.Shrub.LATR.1" "fungi.Grass.BOER.3" "fungi.Ecotone.LATR.1" "fungi.Ecotone.PLJA.6" "fungi.Ecotone.PLJA.2" "fungi.Grass.BOER.1" "fungi.Ecotone.PLJA.4" "fungi.Grass.PLJA.4"
"OTU4" 4 0 5 0 0 0 2 1 0 0 1 1 3 2 0 4 1 3 14 1 2 2 1 2 1 0 2 15 2 3 1 0 3 4 3 0 1 2 0 2 0 7 3 0 3 0 3 4 0 0 1 0 2 0 2 2
"OTU4445" 0 152 38 0 0 0 0 0 1 0 2 0 0 0 0 0 0 7 0 3 0 8 100 0 0 0 0 0 0 0 8 0 1 82 0 0 0 3 0 0 0 1 0 0 8 0 0 0 0 0 0 1 2 0 0 0
"OTU20" 96 0 158 64 44 422 58 66 119 0 1125 308 600 0 0 174 62 224 51 97 114 0 0 379 228 0 18 124 13 0 192 4 220 1 0 66 0 90 67 13 1441 463 139 199 0 285 41 445 14 15 0 81 22 0 181 194
"OTU523" 13 0 1313 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU38" 151 206 900 146 0 458 8 176 80 109 154 485 104 1 0 867 45 2 35 1245 473 0 0 118 1043 0 0 0 7 1323 0 28 460 0 326 0 0 245 132 51 818 0 650 80 122 0 961 197 191 81 8 68 1 1 52 942
"OTU253" 83 25 27 238 68 11 2 69 0 0 65 0 0 0 0 35 72 153 127 0 30 17 140 50 4 10 16 195 85 0 0 20 0 36 234 64 85 0 104 4 134 161 55 41 62 0 22 57 120 99 520 200 83 0 77 0
"OTU8" 1 2 1 0 605 2724 0 1 2 4 3 2 2704 3 0 2 2240 0 1 0 1299 0 1 1 0 1 3 52 0 3 1 0 1 13 0 4 0 1527 4 268 2 1 11 1076 4267 0 6687 963 1 1 179 0 4 1 1 691
"OTU2047" 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU29" 0 0 0 0 0 1 1 0 0 0 7 0 0 0 0 1 3 0 0 12 0 0 1 0 0 0 1 0 0 12 0 0 0 0 2 0 44 0 4 0 0 0 0 0 2 15 0 0 0 0 60 1 0 1 1 1
"OTU526" 203 145 333 1 2 1132 818 0 0 26 1995 0 43 0 0 81 0 2 0 1 266 11 129 0 780 1 90 1 103 0 687 18 5053 0 0 0 2 4 721 77 159 27 716 1193 8 0 120 63 21 61 0 2 56 447 5 1
"OTU1" 25 1 3 1 1 0 48 1 1 113 265 446 96 185 0 969 1 4 537 6149 0 2 2 3 622 1 3 4 4 1 7 632 3 116 26 13 1 2 0 116 269 106 33 3 2062 223 1 44 381 54 1 93 13 3146 18054 2950
"OTU934" 0 0 0 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU23" 0 1 0 0 1 3 3 1 0 0 0 0 4 1 0 0 7 1 0 1 3205 0 0 0 0 0 1 2 2 2 0 1227 0 0 1 2 1 0 0 0 2 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1
"OTU218" 72 0 0 0 111 158 0 0 0 0 96 319 131 0 0 43 25 163 157 0 0 0 547 130 790 0 0 0 0 0 0 0 1 0 207 1 0 0 1 325 325 420 28 0 0 90 4 1 0 72 1 0 0 2 287 249
"OTU117" 0 246 0 684 219 1 1309 163 19 0 236 0 0 127 0 0 0 277 0 0 272 109 184 166 290 43 0 87 0 2 0 17 620 0 34 0 316 1 0 157 0 0 0 1494 0 0 0 0 6 0 448 174 426 0 69 0
"OTU50" 1 0 1 0 0 0 0 10512 0 0 0 1 1 0 0 2 0 0 0 1 1 0 0 0 12 0 0 0 0 0 2 0 0 0 0 1 0 1 15 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"OTU69" 0 0 63 88 0 1 3 0 1771 0 0 1 0 23 0 0 1 0 0 929 17 0 0 0 0 340 250 0 0 356 1 256 83 0 0 131 152 58 0 0 0 0 1 0 1 1 1 0 0 0 0 14 51 0 0 0
"OTU13" 1 0 0 8543 0 1 3 23655 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 970 1 1 0 0 0
"OTU264" 5 0 0 0 1 12 0 0 0 1054 0 0 0 0 0 0 257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1601 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 332
"OTU90" 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"OTU44" 29 62 13 0 0 0 0 0 0 36 10 286 30 157 0 65 53 0 48 30 15 0 52 0 17 0 16 0 111 0 0 16 0 0 1 23 66 0 0 11 107 0 0 0 0 0 161 0 18 9 0 11 0 0 0 0
"OTU353" 0 0 0 0 0 65 0 0 10 0 0 0 1167 0 0 0 0 0 0 0 0 0 0 105 0 0 0 1 0 0 0 0 94 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU52" 13 0 0 0 0 28 0 0 0 0 0 39 0 0 1 1 2 0 0 1 23 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0
"OTU185" 0 0 30 0 81 34 8 0 13 2 4 0 0 1 0 808 28 0 0 15 14 0 1 169 38 73 0 0 4 0 0 8 8 1 58 1 1 0 4 4 289 0 307 0 8 1 62 43 0 60 1 1 0 0 0 38
"OTU159" 0 53 88 174 0 0 0 213 0 0 10 117 0 21 0 0 0 545 28 5 84 72 42 0 0 32 32 0 39 0 0 2 0 209 0 0 28 39 0 0 0 0 0 22 0 47 0 0 88 0 0 0 351 0 33 0
"OTU204" 0 0 0 10 1551 0 0 0 0 0 0 0 1 179 994 1 0 272 0 0 0 0 0 0 0 1 0 0 131 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"OTU130" 3 16 30 129 0 0 3 73 0 182 70 0 0 65 0 0 2 0 0 0 0 63 0 0 55 0 0 77 1 0 0 0 30 86 0 4 22 0 23 22 1 138 0 0 30 0 38 0 0 18 1 526 0 0 0 89
"OTU63" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2330 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 95 1 0 0 5868 0 0 0 0 0 0
"OTU48" 0 0 0 0 200 0 0 0 1 0 0 0 1 2 0 0 5782 0 0 0 0 0 2 120 0 0 0 0 0 0 0 1 1 0 261 0 0 0 0 2 0 48 5 0 0 0 0 2781 0 0 0 0 0 0 1 40
"OTU310" 0 0 0 0 0 26 0 29 0 0 525 135 161 0 0 19 0 84 0 0 180 0 0 0 0 1 1 0 0 0 0 1 65 0 34 0 0 264 0 0 50 0 0 18 11 0 45 0 0 0 0 19 1 0 0 0
"OTU26" 7 325 491 765 156 0 3 30 9 204 28 566 1 0 376 363 222 1390 179 1 4263 50 1589 1 79 0 1 105 8 0 0 472 1397 203 20 1 16 52 1208 0 426 1 104 1219 37 380 84 0 1 104 3 146 1052 0 1740 0
"OTU2" 2200 6006 6949 3122 10189 565 17607 1598 3 884 2482 4178 7484 314 1 2334 3075 1528 3151 716 3445 545 5430 2933 4 1168 586 3932 819 212 1012 247 4780 22 3054 705 286 7453 8395 3057 4504 1092 1542 582 7890 1381 2663 2747 2066 2712 65 4937 4867 2081 252 8304
"OTU201" 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"OTU146" 0 0 0 0 1764 0 0 0 0 0 0 0 0 0 0 0 632 1 1297 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 3 0 2 0 0
"OTU945" 0 0 15 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 7 0 0 21
"OTU17" 0 1295 23 21 0 1 7 1649 4133 0 26 0 31 1358 1 1 4 124 0 7651 808 346 345 0 0 2459 612 0 39 3618 1120 772 24 72 0 623 192 21 0 2 2 0 0 1 0 0 0 0 1116 0 137 1 77 2 19 0
"OTU2327" 0 0 0 0 0 0 1 256 0 0 0 0 0 182 0 0 0 884 0 0 0 0 0 0 0 0 0 0 0 1 0 6 59 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 104 0
"OTU114" 0 0 0 0 0 0 0 0 541 88 0 0 1 0 0 0 0 0 0 172 0 55 0 80 0 1 682 0 0 0 0 0 0 159 0 0 0 0 12 1 0 0 105 0 0 0 0 0 359 1 0 0 0 0 24 0
"OTU87" 151 47 696 0 100 314 393 150 5 30 242 58 126 28 391 687 117 0 107 0 1 248 0 47 354 0 30 164 1 1 0 2 980 0 237 36 0 0 18 9 102 188 51 23 46 0 400 54 0 48 3 147 27 0 51 29
"OTU5" 243 1180 385 473 30 367 299 6691 8981 48 551 241 1099 2370 1 1040 29 0 8 11122 1567 345 539 466 318 2413 378 102 122 3941 1972 1316 2385 407 198 1968 5250 978 255 84 800 573 129 235 32 87 114 83 733 27 248 645 310 104 438 183
"OTU41" 0 0 2 0 0 5 0 1648 0 0 0 1 0 1623 0 0 31 4833 0 0 0 0 1 0 0 0 0 51 0 0 0 24 473 0 0 2 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 1 398 0 493 0
"OTU62" 0 0 500 0 19 144 13 352 478 8 687 314 237 12 0 1264 17 0 1 867 211 0 1 185 378 0 22 0 0 309 131 54 717 0 29 0 12 947 367 20 623 52 125 103 22 0 203 146 9 376 68 81 52 1 117 224
