OTU ID	fungi.Grass.BOGR.1	fungi.mock2	fungi.Ecotone.LATR.8	fungi.SPEGAR.PLJA.4B	fungi.Ecotone.PLJA.8	fungi.SPEGAR.BOER.4A	fungi.Ecotone.PLJA.1	fungi.SPEGAR.PLJA.3A	fungi.Grass.BOER.4	fungi.SPEGAR.ARPU.2A	fungi.Grass.BOER.7	fungi.SPEGAR.BOGR.3B	fungi.SPEGAR.BOER.1A	fungi.SPEGAR.PLJA.2B	fungi.SPEGAR.BOER.2B	fungi.Grass.PLJA.6	fungi.Ecotone.LATR.5	fungi.Shrub.LATR.8	fungi.SPEGAR.BOER.4B	fungi.Grass.BOGR.7	fungi.Ecotone.BOER.7	fungi.SPEGAR.PLJA.1A	fungi.Ecotone.PLJA.5	fungi.SPEGAR.ARPU.1A	fungi.SPEGAR.BOGR.2B	fungi.Ecotone.BOER.4	fungi.SPEGAR.BOGR.1B	fungi.SPEGAR.ARPU.1B	fungi.Ecotone.LATR.4	fungi.Grass.PLJA.1	fungi.SPEGAR.ARPU.4A	fungi.Grass.PLJA.5	fungi.Grass.BOGR.4	fungi.Ecotone.PLJA.3	fungi.Grass.BOGR.5	fungi.Shrub.LATR.3	fungi.SPEGAR.BOER.2A	fungi.SPEGAR.PLJA.4A	fungi.Ecotone.BOER.8	fungi.Ecotone.LATR.6	fungi.Ecotone.BOER.3	fungi.Grass.BOER.6	fungi.Grass.PLJA.2	fungi.Shrub.LATR.7	fungi.Shrub.LATR.5	fungi.SPEGAR.BOER.1B	fungi.SPEGAR.ARPU.3B	fungi.Grass.BOER.5	fungi.SPEGAR.BOGR.4B	fungi.SPEGAR.ARPU.2B	fungi.Ecotone.LATR.2	fungi.Shrub.LATR.6	fungi.Ecotone.LATR.3	fungi.Ecotone.LATR.7	fungi.Ecotone.PLJA.7	fungi.SPEGAR.BOGR.3A	fungi.SPEGAR.ARPU.4B	fungi.Ecotone.BOER.2	fungi.SPEGAR.PLJA.3B	fungi.Grass.BOGR.3	fungi.Shurb.LATR.2	fungi.Shrub.LATR.4	fungi.SPEGAR.PLJA.2A	fungi.Ecotone.BOER.1	fungi.Ecotone.BOER.5	fungi.Grass.PLJA.7	fungi.Grass.BOER.2	fungi.SPEGAR.BOGR.2A	fungi.Grass.BOGR.8	fungi.Grass.BOGR.6	fungi.SPEGAR.BOER.3B	fungi.Ecotone.BOER.6	fungi.Grass.PLJA.8	fungi.SPEGAR.PLJA.1B	fungi.Grass.BOGR.2	fungi.mock1	fungi.Grass.BOER.8	fungi.Grass.PLJA.3	fungi.SPEGAR.BOGR.4A	fungi.Shrub.LATR.1	fungi.SPEGAR.BOGR.1A	fungi.Grass.BOER.3	fungi.Ecotone.LATR.1	fungi.Ecotone.PLJA.6	fungi.Ecotone.PLJA.2	fungi.Grass.BOER.1	fungi.SPEGAR.BOER.3A	fungi.Ecotone.PLJA.4	fungi.Grass.PLJA.4	fungi.SPEGAR.ARPU.3A	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU2	2200	0	6006	8114	6949	2530	3122	1123	10189	2750	565	2091	9565	3413	4885	17607	1598	3	375	884	2482	3700	4178	1264	1567	7484	1646	3232	314	1	3924	2334	3075	1528	3151	716	5623	15749	3445	545	5430	2933	4	1168	586	1190	3219	3932	1020	1798	819	212	1012	247	4780	840	477	22	2110	3054	705	286	6100	7453	8395	3057	4504	191	1092	1542	1180	582	7890	2163	1381	2	2663	2747	9899	2066	204	2712	65	4937	4867	2081	2149	252	8304	790	"d:Fungi,p:Ascomycota"	-	-	-	-	-	-	-	Unassigned	-
OTU1	25	3	1	869	3	11	1	5	1	3367	0	4671	19550	19	1	48	1	1	173	113	265	1682	446	1	33	96	51	60	185	0	5060	969	1	4	537	6149	134	3169	0	2	2	3	622	1	3	22451	118	4	10683	3	4	1	7	632	3	8354	291	116	85	26	13	1	506	2	0	116	269	1768	106	33	101	3	2062	30215	223	0	1	44	2	381	1225	54	1	93	13	3146	35	18054	2950	49	"d:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae"	-	-	-	-	-	-	-	Unassigned	-
OTU5	243	2	1180	327	385	101	473	142	30	297	367	613	307	90	214	299	6691	8981	2279	48	551	191	241	542	167	1099	337	1329	2370	1	121	1040	29	0	8	11122	239	89	1567	345	539	466	318	2413	378	2	176	102	721	342	122	3941	1972	1316	2385	24	238	407	412	198	1968	5250	1	978	255	84	800	606	573	129	115	235	32	396	87	0	114	83	346	733	572	27	248	645	310	104	47	438	183	32	"d:Fungi,p:Ascomycota"	-	-	-	-	-	-	-	Unassigned	-
OTU4	4	34233	0	2	5	3	0	2	0	3	0	0	2	7	256	2	1	0	2	0	1	0	1	1	2	3	4	2	2	0	1	4	1	3	14	1	5	0	2	2	1	2	1	0	2	1	0	15	1	1	2	3	1	0	3	1	2	4	1	3	0	1	0	2	0	2	0	1	7	3	2	0	3	2	0	28074	3	4	2	0	4	0	1	0	2	0	2	2	2	0	"d:Fungi,p:Ascomycota,c:Sordariomycetes"	-	-	-	-	-	-	-	Unassigned	-
OTU3	1	30591	2	3	2	1	2	1	2	4	2	0	3	1	254	1	3	1	1	2	1	1	11	1	0	4	2	3	2	1	0	1	2	4	8	2	0	1	2	1	1	0	1	1	1	3	0	36	2	0	0	4	0	1	0	0	2	3	5	0	4	1	0	2	3	0	1	1	2	2	1	0	0	1	1	26232	3	2	1	1	10	0	2	2	1	12	1	1	4	0	"d:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Hypoxylon"	Xylariaceae	9	Pathotroph-Saprotroph-Symbiotroph	Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph	Xylarioid	NULL	Probable	Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'
OTU15	52	0	0	354	52	1	309	3506	0	98	1	2808	760	512	364	17	0	115	68	0	9	3049	0	47	1123	87	19630	23	428	0	293	25	136	1	28	136	1112	41	0	0	0	15	58	0	412	925	1291	1	1786	3	0	1	0	12	26	186	740	741	1862	25	30	238	0	0	67	0	282	1371	38	15	46	95	0	101	2	0	40	0	900	116	149	10	9176	1	1	0	22	232	0	2	"d:Fungi,p:Ascomycota"	-	-	-	-	-	-	-	Unassigned	-
OTU8	1	0	2	984	1	577	0	1113	605	1	2724	26	9	1326	1712	0	1	2	2	4	3	4	2	0	46	2704	524	1	3	0	599	2	2240	0	1	0	489	134	1299	0	1	1	0	1	3	4	1	52	2546	1	0	3	1	0	1	5289	268	13	3549	0	4	0	1290	1527	4	268	2	1	1	11	12	1076	4267	0	0	0	6687	963	8620	1	15	1	179	0	4	1	78	1	691	0	d:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU12	2	1	0	2185	4	152	276	0	2	67	0	1	1	1	0	1	453	0	75	1	0	2	1689	5	1	0	2	3	6	0	1	0	11	4	1	18	0	1933	35	48	3	252	2	1	0	1	2	1	2	1	20342	1	6912	1641	29	0	0	0	0	3	2	0	1	0	0	1	187	1	202	6048	1	69	2	1	1	0	1	1	2	117	8	1	106	3797	0	772	5	2	1	0	d:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU7	0	0	0	6	0	0	0	3472	1	968	0	455	0	1920	0	0	1	2	0	0	0	0	3659	952	0	1	88	1534	0	0	0	1	1200	1	335	0	1	0	1	1	0	1	0	0	0	16586	1	1	320	22	1	0	0	25	0	98	70	0	41	2	1	0	0	2723	0	1	0	1	0	1	0	0	0	6279	1	0	1	0	0	0	4428	0	0	0	5	0	1	1	0	0	d:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU9	120	0	2	1	3528	1	1	0	28	142	98	1061	694	1	29	25	1	403	7	11	155	27	144	246	201	3038	3	26	1	0	722	401	1	0	22	28	429	0	36	0	72	423	40	0	0	412	547	1	839	334	2	2	0	235	4162	463	699	2136	2	1659	3	1	0	119	69	207	1868	1224	1	270	451	1884	84	0	0	0	959	1545	512	5582	407	61	18	1630	3180	0	119	397	32	0	"d:Fungi,p:Ascomycota"	-	-	-	-	-	-	-	Unassigned	-
