"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU4" "Fungi" "Ascomycota" "Sordariomycetes" "Coniochaetales" "Coniochaetaceae" "Coniochaeta" "unk"
"OTU4445" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizaceae" "Kalaharituber" "unk"
"OTU20" "Fungi" "Ascomycota" "Dothideomycetes" "Dothideales" "Saccotheciaceae" "Aureobasidium" "unk"
"OTU523" "Fungi" "Basidiomycota" "Agaricomycetes" "Auriculariales" "unk" "unk" "unk"
"OTU38" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU253" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Aspergillus" "unk"
"OTU8" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU2047" "Fungi" "Ascomycota" "Dothideomycetes" "Botryosphaeriales" "Phyllostictaceae" "Phyllosticta" "unk"
"OTU29" "Fungi" "Ascomycota" "dummy_class_Retroconis" "dummy_order_Retroconis" "dummy_family_Retroconis" "Retroconis" "unk"
"OTU526" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Lentitheciaceae" "Darksidea" "Darksidea_beta"
"OTU1" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Ascobolaceae" "Ascobolus" "unk"
"OTU934" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Testudinaceae" "Lepidosphaeria" "Lepidosphaeria_nicotiae"
"OTU23" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Bolbitiaceae" "Galeropsis" "unk"
"OTU218" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU117" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Diatrypaceae" "Eutypa" "unk"
"OTU50" "Fungi" "Ascomycota" "Leotiomycetes" "dummy_order_Scytalidium" "dummy_family_Scytalidium" "Scytalidium" "Scytalidium_cuboideum"
"OTU69" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU13" "Fungi" "Basidiomycota" "Agaricomycetes" "Polyporales" "Phanerochaetaceae" "Rhizochaete" "Rhizochaete_fouquieriae"
"OTU264" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Entolomataceae" "Clitopilus" "unk"
"OTU90" "Fungi" "Basidiomycota" "Agaricomycetes" "unk" "unk" "unk" "unk"
"OTU44" "Fungi" "Zygomycota" "dummy_class_Mucorales" "Mucorales" "Rhizopodaceae" "Rhizopus" "Rhizopus_microsporus"
"OTU353" "Fungi" "unk" "unk" "unk" "unk" "unk" "unk"
"OTU52" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Lasiosphaeriaceae" "Zopfiella" "unk"
"OTU185" "Fungi" "Ascomycota" "Dothideomycetes" "Capnodiales" "Mycosphaerellaceae" "Pseudocercospora" "unk"
"OTU159" "Fungi" "Basidiomycota" "Agaricomycetes" "unk" "unk" "unk" "unk"
"OTU204" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU130" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Lasiosphaeriaceae" "Cercophora" "unk"
"OTU63" "Fungi" "Basidiomycota" "Agaricomycetes" "Geastrales" "Geastraceae" "Geastrum" "unk"
"OTU48" "Fungi" "Basidiomycota" "Agaricomycetes" "unk" "unk" "unk" "unk"
"OTU310" "Fungi" "unk" "unk" "unk" "unk" "unk" "unk"
"OTU26" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU2" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Lentitheciaceae" "Darksidea" "Darksidea_alpha"
"OTU201" "Fungi" "Ascomycota" "Sordariomycetes" "dummy_order_Stilbella" "dummy_family_Stilbella" "Stilbella" "unk"
"OTU146" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizaceae" "Peziza" "unk"
"OTU945" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU17" "Fungi" "Ascomycota" "Dothideomycetes" "unk" "unk" "unk" "unk"
"OTU2327" "Fungi" "Glomeromycota" "Glomeromycetes" "unk" "unk" "unk" "unk"
"OTU114" "Fungi" "Ascomycota" "Pezizomycetes" "unk" "unk" "unk" "unk"
"OTU87" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Gibberella" "Gibberella_avenacea"
"OTU5" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU41" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU62" "Fungi" "Ascomycota" "Dothideomycetes" "dummy_order_Pseudoperisporiaceae" "Pseudoperisporiaceae" "Bryochiton" "unk"
"OTU222" "Fungi" "Ascomycota" "Dothideomycetes" "dummy_order_Pseudoperisporiaceae" "Pseudoperisporiaceae" "Bryochiton" "unk"
"OTU329" "Fungi" "Zygomycota" "dummy_class_Mucorales" "Mucorales" "Umbelopsidaceae" "Umbelopsis" "Umbelopsis_vinacea"
"OTU322" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Bulleribasidiaceae" "Vishniacozyma" "unk"
"OTU18" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Pleosporaceae" "Alternaria" "Alternaria_chlamydosporigena"
"OTU1040" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Dermateaceae" "Gloeosporium" "unk"
"OTU123" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Tulostoma" "unk"
"OTU7" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Ascobolaceae" "Ascobolus" "unk"
"OTU618" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Leptosphaeriaceae" "Leptosphaeria" "unk"
"OTU1867" "Fungi" "Basidiomycota" "Agaricomycetes" "unk" "unk" "unk" "unk"
"OTU2618" "Fungi" "Ascomycota" "dummy_class_Xepicula" "dummy_order_Xepicula" "dummy_family_Xepicula" "Xepicula" "unk"
"OTU4088" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Leptosphaeriaceae" "unk" "unk"
"OTU51" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Lepiota" "unk"
"OTU252" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU3" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Xylariaceae" "Hypoxylon" "unk"
"OTU620" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "unk" "unk" "unk"
"OTU459" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Pleosporaceae" "Alternaria" "unk"
"OTU691" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Sporormiaceae" "Preussia" "unk"
"OTU191" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Tremellaceae" "Naganishia" "Naganishia_albida"
"OTU22" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizaceae" "Kalaharituber" "unk"
"OTU68" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Lasiosphaeriaceae" "Podospora" "unk"
"OTU885" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Rhizophagus" "unk"
"OTU276" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Diademaceae" "Comoclathris" "unk"
"OTU97" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU451" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unk" "unk" "unk"
"OTU36" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Ceratobasidiaceae" "Thanatephorus" "unk"
"OTU66" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Phaeosphaeria" "unk"
"OTU244" "Fungi" "Ascomycota" "Sordariomycetes" "unk" "unk" "unk" "unk"
"OTU364" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Ceratobasidiaceae" "Thanatephorus" "unk"
"OTU231" "Fungi" "Basidiomycota" "Tremellomycetes" "Trichosporonales" "Trichosporonaceae" "Trichosporon" "unk"
"OTU3281" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU513" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Xylariaceae" "Coniolariella" "Coniolariella_ershadii"
"OTU250" "Fungi" "Ascomycota" "Dothideomycetes" "unk" "unk" "unk" "unk"
"OTU152" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Tulostoma" "unk"
"OTU291" "Fungi" "Basidiomycota" "Agaricomycetes" "unk" "unk" "unk" "unk"
"OTU172" "Fungi" "Basidiomycota" "Agaricomycetes" "Thelephorales" "Thelephoraceae" "Tomentella" "unk"
"OTU59" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Montagnulaceae" "Paraconiothyrium" "unk"
"OTU1269" "Fungi" "Zygomycota" "dummy_class_Mortierellales" "Mortierellales" "Mortierellaceae" "Mortierella" "Mortierella_alpina"
"OTU15" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Sporormiaceae" "Preussia" "unk"
"OTU498" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU54" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Pleosporaceae" "Curvularia" "unk"
"OTU3880" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU3774" "Fungi" "Glomeromycota" "unk" "unk" "unk" "unk" "unk"
"OTU32" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Lentitheciaceae" "Darksidea" "unk"
"OTU98" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Diatrypaceae" "Monosporascus" "unk"
"OTU949" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Penicillium" "Penicillium_ardesiacum"
"OTU67" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU12" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizaceae" "Peziza" "unk"
"OTU2328" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Ceratobasidiaceae" "Thanatephorus" "Thanatephorus_cucumeris"
"OTU16" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "unk"
"OTU1357" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Ascobolaceae" "Ascobolus" "unk"
"OTU508" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "unk" "unk"
"OTU1132" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU258" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU161" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Lasiosphaeriaceae" "Podospora" "unk"
"OTU83" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unk" "unk" "unk"
"OTU315" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unk" "unk" "unk"
"OTU911" "Fungi" "Zygomycota" "dummy_class_Mortierellales" "Mortierellales" "Mortierellaceae" "Mortierella" "unk"
"OTU810" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Diatrypaceae" "Monosporascus" "unk"
"OTU269" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Ceratobasidiaceae" "Thanatephorus" "unk"
"OTU444" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU4223" "Fungi" "Glomeromycota" "unk" "unk" "unk" "unk" "unk"
"OTU260" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Diatrypaceae" "Monosporascus" "unk"
"OTU1930" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU105" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU545" "Fungi" "unk" "unk" "unk" "unk" "unk" "unk"
"OTU39" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Bolbitiaceae" "Conocybe" "unk"
