"","Row.names","OTU","average","av_Ecotone","av_Grassland","pval","Domain","Phylum","Class","Order","Family","Genus","Species","ungi","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"1","OTU1009","OTU1009",0.000613074840350968,2.11952187640464,0.16108178707609,0.0181,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma;s__unk","Lophiostoma","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"2","OTU1080","OTU1080",0.000668523996088477,2.39406355338985,0.16108178707609,0.025,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"3","OTU109","OTU109",0.000952627586237811,3.20158315686,0.16108178707609,0.0058,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unk","Fungi","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"4","OTU11","OTU11",0.00203920723851229,7.70144881060748,1.04717393448689,0.0046,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","unk","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__unk","Ceratobasidiaceae","9","Pathotroph-Saprotroph-Symbiotroph","Endomycorrhizal-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"5","OTU122","OTU122",0.000756331469749739,2.60546514999712,0.16108178707609,0.0362,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","unk","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__unk","Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Possible","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)'"
"6","OTU124","OTU124",0.00134396717037846,5.35841719944246,1.07744897264022,0.0102,"Fungi","Ascomycota","Sordariomycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"7","OTU125","OTU125",0.00145798553729702,6.39882923985416,1.76528676582641,2e-04,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"8","OTU135","OTU135",0.00156940570652729,0.512031523566624,5.10965336357085,0.0027,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Lecanicillium","unk","Fungi","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium;s__unk","Lecanicillium","13","Pathotroph","Animal Pathogen","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"9","OTU1352","OTU1352",0.000289013553134566,0.942063548252509,0.16108178707609,0.0299,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","unk","Fungi","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"10","OTU1495","OTU1495",0.00057833514054767,1.86440106094039,0.16108178707609,0.0231,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"11","OTU156","OTU156",0.00136780710623228,0.93957628473608,4.80139629644447,0.0063,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"12","OTU159","OTU159",0.00126401694454955,4.62765837441225,0.16108178707609,0.0032,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"13","OTU1594","OTU1594",0.000279356662446802,0.912627461200929,0.16108178707609,0.0299,"Fungi","Ascomycota","Leotiomycetes","Helotiales","dummy_family_Tetracladium","Tetracladium","unk","Fungi","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__dummy_family_Tetracladium;g__Tetracladium;s__unk","Tetracladium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"14","OTU162","OTU162",0.00144130217331597,6.54133722796389,1.89776885235859,0.0024,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"15","OTU1649","OTU1649",0.000599383905098153,0.16108178707609,2.12970569218432,0.0233,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__unk","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"16","OTU1654","OTU1654",0.000222350114266885,0.848945370903431,0.16108178707609,0.0496,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"17","OTU17","OTU17",0.00130275928110051,5.1414085764451,0.891617474691709,0.003,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"18","OTU180","OTU180",0.00128096232118384,2.00917843361263,5.54627942645151,0.0193,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"19","OTU191","OTU191",0.00125492092943925,5.93100703555503,2.29720388245066,0.0293,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Naganishia","Naganishia_albida","Fungi","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Naganishia;s__Naganishia_albida","-","-","-","-","-","-","-","Unassigned","-"
"20","OTU197","OTU197",0.00131048484604581,6.42143734087572,2.07981513487319,7e-04,"Fungi","Ascomycota","Eurotiomycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"21","OTU213","OTU213",0.000708457433256231,2.60676378014222,0.283373037010646,0.0441,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","unk","Fungi","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora;s__unk","Articulospora","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"22","OTU22","OTU22",0.00196648794295385,7.40116236108699,1.09298434951157,7e-04,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Kalaharituber","unk","Fungi","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Kalaharituber;s__unk","Kalaharituber","13","Symbiotroph","Ectomycorrhizal","NULL","NULL","Possible","NULL","b'Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM)'"
"23","OTU2252","OTU2252",0.000905433571769064,3.28210941719502,0.283373037010646,0.0429,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"24","OTU2306","OTU2306",0.000642276866523945,2.06946979046216,0.16108178707609,0.0067,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"25","OTU231","OTU231",0.000990508612454216,3.89662663653622,0.37940331931345,0.0109,"Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unk","Fungi","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__unk","Trichosporon","13","Pathotroph","Animal Pathogen","NULL","NULL","Probable","Likely opportunistic human pathogen (Irinyi et al. 2015)","b'Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); https://www.cdc.gov ((https://www.cdc.gov))'"
"26","OTU2334","OTU2334",0.000473260262090371,0.16108178707609,1.7823336581695,0.0077,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"27","OTU236","OTU236",0.0011142786154606,0.16108178707609,3.99127869230232,0.0214,"Fungi","Glomeromycota","Glomeromycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__unk;f__unk;g__unk;s__unk","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"28","OTU242","OTU242",0.00119345442354183,4.23351941696316,0.940096935053635,0.012,"Fungi","unk","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__unk;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"29","OTU2435","OTU2435",0.000267153638555417,1.05404321948853,0.16108178707609,0.0216,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"30","OTU2441","OTU2441",0.000650867615558368,2.5384317865964,0.16108178707609,0.0102,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","unk","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__unk","Ceratobasidiaceae","9","Pathotroph-Saprotroph-Symbiotroph","Endomycorrhizal-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"31","OTU246","OTU246",0.000941417758847945,3.64729932398614,0.319342127596974,0.047,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"32","OTU25","OTU25",0.00116850135759799,4.50031154591301,0.542908500297848,0.0059,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__unk;s__unk","Sporormiaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph","Microfungus","NULL","Probable","Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"33","OTU250","OTU250",0.00045507432316092,1.37901825563334,0.16108178707609,0.0299,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"34","OTU251","OTU251",0.00174332155680841,6.24739133658253,0.16108178707609,0.0022,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
