"","Row.names","OTU","average","av_LATR","av_PLJA","pval","Domain","Phylum","Class","Order","Family","Genus","Species","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"1","OTU125","OTU125",0.00118691453228077,5.79473916639023,5.25333498880107,0.0495,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","unk","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"2","OTU1357","OTU1357",0.000936335753786852,3.46253483310362,0.768816488998472,0.0093,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unk","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__Ascobolus;s__unk","Ascobolaceae","9","Saprotroph","Dung Saprotroph-Soil Saprotroph-Wood Saprotrop","NULL","NULL","Probable","NULL","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"3","OTU1448","OTU1448",0.00035308301533891,1.27642276504132,0.183972206431637,0.0355,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","unk","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"4","OTU1473","OTU1473",0.000664605023156524,2.27570859844911,0.5374318161813,0.0199,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_mosseae","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis;s__Funneliformis_mosseae","Funneliformis","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"5","OTU1539","OTU1539",0.000524085777043416,1.93428675836313,0.814633598426927,0.0269,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unk","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__Ascobolus;s__unk","Ascobolaceae","9","Saprotroph","Dung Saprotroph-Soil Saprotroph-Wood Saprotrop","NULL","NULL","Probable","NULL","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"6","OTU157","OTU157",0.00129527950913716,3.8184430258447,6.20396311444297,0.0317,"Fungi","Ascomycota","Eurotiomycetes","unk","unk","unk","unk","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"7","OTU17","OTU17",0.0017706778086569,10.0589611383229,3.96948753948919,0.0011,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"8","OTU171","OTU171",0.000845925614418882,0.183972206431637,3.05560153384589,0.0124,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","unk","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__unk","Lasiosphaeriaceae","9","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Probable","Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"9","OTU176","OTU176",0.0017402805700262,0.501060192730995,6.45732004433449,8e-04,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"10","OTU177","OTU177",0.00144377263281258,6.74137069943432,3.33063166595749,0.0185,"Fungi","Zygomycota","dummy_class_Mortierellales","Mortierellales","Mortierellaceae","Mortierella","Mortierella_alpina","k__Fungi;p__Zygomycota;c__dummy_class_Mortierellales;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable","Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))'"
"11","OTU1779","OTU1779",0.000775486823883419,0.183972206431637,2.84636404926196,0.0049,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"12","OTU1851","OTU1851",0.000612110302888255,0.570483069279792,2.30567566652434,0.0293,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"13","OTU1901","OTU1901",0.000454201263499852,1.65764060870845,0.183972206431637,0.0457,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa","unk","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Eutypa;s__unk","Diatrypaceae","9","Pathotroph-Saprotroph","Plant Pathogen-Plant Saprotroph","Microfungus","NULL","Probable","Saprobes and (usually) weak parasites in wood and bark (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"14","OTU1914","OTU1914",0.00110521205688905,4.85137671072569,1.93039735157561,0.0168,"Fungi","Ascomycota","Pezizomycetes","Pezizales","unk","unk","unk","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"15","OTU1952","OTU1952",0.000241334915991607,0.905219783867072,0.183972206431637,0.0318,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Phoma;s__unk","Didymellaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"16","OTU200","OTU200",0.00106648816218216,3.8572098834583,0.919003865170436,0.0212,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Diatrype","unk","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Diatrype;s__unk","Diatrypaceae","9","Pathotroph-Saprotroph","Plant Pathogen-Plant Saprotroph","Microfungus","NULL","Probable","Saprobes and (usually) weak parasites in wood and bark (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"17","OTU219","OTU219",0.00138758986646618,5.55887837184659,1.47271137556262,0.0041,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unk","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"18","OTU223","OTU223",0.00116578459471931,4.34975634559767,0.437712752737815,0.0069,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"19","OTU237","OTU237",0.000984029028886921,0.183972206431637,3.65434227634563,0.0088,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__unk","Alternaria","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph","Microfungus","Soft Rot","Possible","NULL","b'Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"20","OTU2603","OTU2603",0.000759221146373808,0.183972206431637,2.9131358623875,0.0247,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","unk","unk","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__unk;s__unk","Ceratobasidiaceae","9","Pathotroph-Saprotroph-Symbiotroph","Endomycorrhizal-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"21","OTU273","OTU273",0.00150307655950871,6.12026578790935,1.59226246445653,0.0093,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia","unk","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Scutellinia;s__unk","Pyronemataceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph","Gasteroid-Pezizoid","NULL","Possible","Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"22","OTU275","OTU275",0.000564321117683313,1.93359124195307,0.183972206431637,0.0095,"Fungi","Basidiomycota","unk","unk","unk","unk","unk","k__Fungi;p__Basidiomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"23","OTU292","OTU292",0.000434579573242992,1.8576782456825,0.183972206431637,0.0192,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","unk","unk","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unk;s__unk","Lasiosphaeriaceae","9","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Probable","Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"24","OTU312","OTU312",0.000822279949927233,3.2610342564523,0.183972206431637,0.022,"Fungi","Ascomycota","unk","unk","unk","unk","unk","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
