"","OTU","Row.names","average","av_Ecotone","av_Shrub","pval","SIM_dir","Rank","Final.Taxonomy.for.Funguild","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"1","OTU110","OTU110",0.00033211202256445,0.16108178707609,1.30116126812532,0.004,"Shrubland",143,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Lepiota_17938;unk","Lepiota","13","Saprotroph","Soil Saprotroph","Probable","Agaricoid","NULL","NULL","Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
"2","OTU12","OTU12",0.00181830604190309,9.10910920211331,2.70564516100077,0.0161,"Ecotone",3,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Pezizaceae","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae","Pezizaceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","Possible","Pezizoid","NULL","Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"3","OTU125","OTU125",0.00140465213704029,5.78130678765921,0.899048427395161,0.0267,"Ecotone",123,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"4","OTU133","OTU133",0.000839010951825669,0.16108178707609,2.86088005276872,0.0315,"Shrubland",84,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Probable","Agaricoid-Gasteroid-Secotioid","NULL","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"5","OTU162","OTU162",0.00129013672418391,5.25665442284739,0.681022168747202,0.0294,"Ecotone",110,"Fungi; Fungi incertae sedis; Mucoromycota; Glomeromycotina","k__Fungi;p__Glomeromycota","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"6","OTU177","OTU177",0.00148720179291603,6.73037696665587,1.78985452128952,0.0411,"Ecotone",214,"Fungi,Zygomycota,dummy_class_Mortierellales,Mortierellales,Mortierellaceae,Mortierella_20345,Mortierella_alpina_170280","k__Fungi;p__Zygomycota;c__dummy_class_Mortierellales;o__Mortierellales;f__Mortierellaceae;g__Mortierella_20345;Mortierella_alpina_170280","Mortierellaceae","9","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Possible","Microfungus","NULL","Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074"
"7","OTU188","OTU188",0.00194078221110558,3.48210902776315,11.2356779486436,6e-04,"Shrubland",73,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormia_5169,unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormia_5169;unk","Sporormia","13","Saprotroph","Dung Saprotroph","Highly Probable","NULL","NULL","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Tedersoo L, et al. 2014. Science 346:1256688"
"8","OTU191","OTU191",0.00123131052122043,3.89816380581407,8.04442066035463,0.0219,"Shrubland",148,"Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Naganishia_9074,Naganishia_albida_813141","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Naganishia_9074;Naganishia_albida_813141","Tremellales","7","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","Possible","Tremelloid-Yeast","NULL","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"9","OTU1914","OTU1914",0.00106659128466399,4.83365577979676,1.10576655257853,0.0213,"Ecotone",416,"Fungi,Ascomycota,Pezizomycetes,Pezizales","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales","-","-","-","-","-","-","-","Unassigned","-"
"10","OTU231","OTU231",0.00135975599052067,3.73420292218659,8.75624810686631,0.0299,"Shrubland",190,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina","k__Fungi;p__Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
