"","OTU","average","av_Ecotone","av_Grassland","pval","SIM_dir","Rank","Final.Taxonomy.for.Funguild","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"1","OTU12",0.00131402401149522,4.92934931427643,1.89332894260995,0.0247,"Ecotone",3,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Pezizaceae","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae","Pezizaceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","Possible","Pezizoid","NULL","Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"2","OTU124",0.00154134900705401,5.69947015329585,0.904500307016773,0.0041,"Ecotone",106,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales","Hypocreales","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"3","OTU125",0.00134245884929535,5.23602476369207,2.62920708070612,0.0288,"Ecotone",123,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"4","OTU1357",0.00100181990489963,0.745294001254721,3.53904088102787,0.0015,"Grassland",19,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus_346,unk","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__Ascobolus_346;unk","Ascobolus","13","Saprotroph","Dung Saprotroph-Wood Saprotroph","Probable","NULL","Soft Rot","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Bell A.??1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Tedersoo L, et al. 2014. Science 346:1256691"
"5","OTU151",0.00115145661733544,0.786994754580554,4.03202558326459,0.0052,"Grassland",139,"Fungi,Ascomycota,Eurotiomycetes,Trichomeriaceae","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__dummy_order;f__Trichomeriaceae","Trichomeriaceae","9","Symbiotroph","Epiphyte","Probable","Microfungus","NULL","Foliar epiphytes with the appearance of sooty moulds, mostly occurring on the surface of living leaves and apparently gaining their nutrients from insect exudates (Chomnunti et al. 2012)","Chomnunti P, et al. 2012. Fungal Diversity 56:63-76"
"6","OTU156",0.00112406556091719,0.486606508648156,4.57648994447995,0.0047,"Grassland",115,"Fungi,Basidiomycota","k__Fungi;p__Basidiomycota","-","-","-","-","-","-","-","Unassigned","-"
"7","OTU157",0.00171867826009143,6.18839006715424,0.66547910536063,5e-04,"Ecotone",126,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina","k__Fungi;p__Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"8","OTU159",0.00154473422892973,5.14973542005583,0.16108178707609,0.0022,"Ecotone",199,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Lecanoromycetes; OSLEUM clade; Lecanoromycetidae","k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__OSLEUMclade","-","-","-","-","-","-","-","Unassigned","-"
"9","OTU183",0.000883126872189446,0.405804396021791,3.00121486743408,0.0425,"Grassland",165,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales","Hypocreales","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"10","OTU185",0.00100913586742064,1.01122936306352,4.66033534842814,0.0275,"Grassland",212,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Mycocaliciomycetidae; Mycocaliciales; Mycocaliciaceae; Mycocalicium; Mycocalicium victoriae","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Mycocaliciales;f__Mycocaliciaceae;g__Mycocalicium;s__Mycocalicium_victoriae","Mycocalicium","13","Symbiotroph","Lichenized","Possible","Thallus","NULL","Lichenized and non-licenized taxa","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)"
