OTU,PROTAX
OTU2,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea_810760,Darksidea_alpha_810761"
OTU5,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma_9358,unk"
OTU12,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza_3859,unk"
OTU1,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus_346,unk"
OTU28,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Didymosphaeria_1562,unk"
OTU9,"Fungi,Ascomycota,unk"
OTU13,"Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Rhizochaete_28826,Rhizochaete_fouquieriae_488115"
OTU11,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium_17260,unk"
OTU10,"Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia_8831,Malassezia_restricta_437921"
OTU17,"Fungi,Ascomycota,Dothideomycetes"
OTU8,"Fungi,Ascomycota,unk"
OTU27,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus_17367,unk"
OTU19,"Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete_17816,unk"
OTU16,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis_17366,unk"
OTU26,"Fungi,Ascomycota,unk"
OTU37,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk"
OTU22,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Kalaharituber_28933,unk"
OTU24,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella_18378,unk"
OTU1357,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus_346,unk"
OTU60,"Fungi,Ascomycota,unk"
OTU526,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea_810760,Darksidea_beta_810762"
OTU35,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium_7765,unk"
OTU32,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea_810760,unk"
OTU18,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria_7106,Alternaria_chlamydosporigena_803694"
OTU51,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk"
OTU38,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma_9358,unk"
OTU30,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma_9358,unk"
OTU45,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU15,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia_4363,unk"
OTU46,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium_17260,unk"
OTU40,"Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia_8831,unk"
OTU176,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU50,"Fungi,Ascomycota,Leotiomycetes,dummy_order_Scytalidium,dummy_family_Scytalidium,Scytalidium_9862,Scytalidium_cuboideum_515403"
OTU81,"Fungi,Zygomycota,dummy_class_Mortierellales,Mortierellales,Mortierellaceae,Mortierella_20345,unk"
OTU62,"Fungi,Ascomycota,Dothideomycetes,dummy_order_Pseudoperisporiaceae,Pseudoperisporiaceae,Bryochiton_660,unk"
OTU61,"Fungi,Ascomycota,Dothideomycetes"
OTU54,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia_7847,unk"
OTU70,"Fungi,Ascomycota,Eurotiomycetes"
OTU65,"Fungi,Basidiomycota,Agaricomycetes"
OTU91,"Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria_5832,unk"
OTU41,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU53,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora_4284,unk"
OTU48,"Fungi,Basidiomycota,Agaricomycetes"
OTU2507,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea_810760,Darksidea_zeta_810766"
OTU92,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia_4973,unk"
OTU20,"Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium_7297,unk"
OTU80,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius_18018,unk"
OTU57,"Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus_7248,unk"
OTU59,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Paraconiothyrium_500080,unk"
OTU73,"Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium_9257,Penicillium_polonicum_274889"
OTU63,"Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum_19141,unk"
OTU117,"Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Eutypa_1950,unk"
OTU64,"Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,dummy_family_Neophaeococcomyces,Neophaeococcomyces_814935,unk"
OTU78,"Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus_7248,Aspergillus_alliaceus_256402"
OTU7,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus_346,unk"
OTU102,"Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta_1209,unk"
OTU96,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU72,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,Conocybe_tenera_255051"
OTU86,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Pseudocamarosporium_550556,unk"
OTU128,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk"
OTU95,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Zopfiella_5876,unk"
