"","variable","Trophic.Mode","value","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","sampleID","project","Location","Spp","Rep","site_spp"
"1","fungi.Ecotone.BOER.1","Pathotroph",32.2800371071118,"Ecotone_BOER_1",65,57.2,22,20.8,8.5,0,171,0.9,1,"E","Boer",1,3,157,50.6,2649.97,"257","13460.3",24.68,1292.6,"fungi.Ecotone.BOER.1","transitions","Ecotone","BOER",1,"E.Boer"
"2","fungi.Ecotone.BOER.1","Saprotroph",114.9894944121,"Ecotone_BOER_1",65,57.2,22,20.8,8.5,0,171,0.9,1,"E","Boer",1,3,157,50.6,2649.97,"257","13460.3",24.68,1292.6,"fungi.Ecotone.BOER.1","transitions","Ecotone","BOER",1,"E.Boer"
"3","fungi.Ecotone.BOER.1","Symbiotroph",102.778088360168,"Ecotone_BOER_1",65,57.2,22,20.8,8.5,0,171,0.9,1,"E","Boer",1,3,157,50.6,2649.97,"257","13460.3",24.68,1292.6,"fungi.Ecotone.BOER.1","transitions","Ecotone","BOER",1,"E.Boer"
"4","fungi.Ecotone.BOER.2","Pathotroph",78.45841817976,"Ecotone_BOER_2",66,61.2,22,16.8,8.5,0,196,0.8,1.5,"E","Boer",2,1.76,99.58,37.05,2099.76,"190.2","10777.96",38.61,2187.88,"fungi.Ecotone.BOER.2","transitions","Ecotone","BOER",2,"E.Boer"
"5","fungi.Ecotone.BOER.2","Saprotroph",343.011723588345,"Ecotone_BOER_2",66,61.2,22,16.8,8.5,0,196,0.8,1.5,"E","Boer",2,1.76,99.58,37.05,2099.76,"190.2","10777.96",38.61,2187.88,"fungi.Ecotone.BOER.2","transitions","Ecotone","BOER",2,"E.Boer"
"6","fungi.Ecotone.BOER.2","Symbiotroph",248.783142702374,"Ecotone_BOER_2",66,61.2,22,16.8,8.5,0,196,0.8,1.5,"E","Boer",2,1.76,99.58,37.05,2099.76,"190.2","10777.96",38.61,2187.88,"fungi.Ecotone.BOER.2","transitions","Ecotone","BOER",2,"E.Boer"
"7","fungi.Ecotone.BOER.3","Pathotroph",57.9028273204404,"Ecotone_BOER_3",67,59.2,20,20.8,8.4,4,178,0.9,2.5,"E","Boer",3,3.45,206.7,38.47,2302.79,"150.89","9032.87",42.75,2559.47,"fungi.Ecotone.BOER.3","transitions","Ecotone","BOER",3,"E.Boer"
"8","fungi.Ecotone.BOER.3","Saprotroph",160.311530484915,"Ecotone_BOER_3",67,59.2,20,20.8,8.4,4,178,0.9,2.5,"E","Boer",3,3.45,206.7,38.47,2302.79,"150.89","9032.87",42.75,2559.47,"fungi.Ecotone.BOER.3","transitions","Ecotone","BOER",3,"E.Boer"
"9","fungi.Ecotone.BOER.3","Symbiotroph",106.189628935092,"Ecotone_BOER_3",67,59.2,20,20.8,8.4,4,178,0.9,2.5,"E","Boer",3,3.45,206.7,38.47,2302.79,"150.89","9032.87",42.75,2559.47,"fungi.Ecotone.BOER.3","transitions","Ecotone","BOER",3,"E.Boer"
"10","fungi.Ecotone.BOER.4","Pathotroph",59.0581147980322,"Ecotone_BOER_4",68,57.2,22,20.8,8.5,0,176,0.9,1.1,"E","Boer",4,1.97,90.13,32.53,1486.95,"239.21","10935.29",14.47,661.59,"fungi.Ecotone.BOER.4","transitions","Ecotone","BOER",4,"E.Boer"
"11","fungi.Ecotone.BOER.4","Saprotroph",137.971880083479,"Ecotone_BOER_4",68,57.2,22,20.8,8.5,0,176,0.9,1.1,"E","Boer",4,1.97,90.13,32.53,1486.95,"239.21","10935.29",14.47,661.59,"fungi.Ecotone.BOER.4","transitions","Ecotone","BOER",4,"E.Boer"
"12","fungi.Ecotone.BOER.4","Symbiotroph",140.686632911565,"Ecotone_BOER_4",68,57.2,22,20.8,8.5,0,176,0.9,1.1,"E","Boer",4,1.97,90.13,32.53,1486.95,"239.21","10935.29",14.47,661.59,"fungi.Ecotone.BOER.4","transitions","Ecotone","BOER",4,"E.Boer"
"13","fungi.Ecotone.BOER.5","Pathotroph",38.9109586319827,"Ecotone_BOER_5",69,63.2,20,16.8,8.4,0,167,0.8,1.2,"E","Boer",5,7.44,408.56,61.17,3359.34,"140.05","7691.63",79.78,4381.76,"fungi.Ecotone.BOER.5","transitions","Ecotone","BOER",5,"E.Boer"
"14","fungi.Ecotone.BOER.5","Saprotroph",115.97870408392,"Ecotone_BOER_5",69,63.2,20,16.8,8.4,0,167,0.8,1.2,"E","Boer",5,7.44,408.56,61.17,3359.34,"140.05","7691.63",79.78,4381.76,"fungi.Ecotone.BOER.5","transitions","Ecotone","BOER",5,"E.Boer"
"15","fungi.Ecotone.BOER.5","Symbiotroph",137.729803190984,"Ecotone_BOER_5",69,63.2,20,16.8,8.4,0,167,0.8,1.2,"E","Boer",5,7.44,408.56,61.17,3359.34,"140.05","7691.63",79.78,4381.76,"fungi.Ecotone.BOER.5","transitions","Ecotone","BOER",5,"E.Boer"
