"","OTU","fungi.Grass.BOGR.1","fungi.Ecotone.LATR.8","fungi.Ecotone.PLJA.8","fungi.Ecotone.PLJA.1","fungi.Grass.BOER.4","fungi.Grass.BOER.7","fungi.Ecotone.LATR.5","fungi.Grass.PLJA.6","fungi.Shrub.LATR.8","fungi.Grass.BOGR.7","fungi.Ecotone.BOER.4","fungi.Ecotone.BOER.7","fungi.Ecotone.PLJA.5","fungi.Ecotone.LATR.4","fungi.Grass.PLJA.5","fungi.Grass.PLJA.1","fungi.Grass.BOGR.4","fungi.Ecotone.PLJA.3","fungi.Shrub.LATR.3","fungi.Grass.BOGR.5","fungi.Ecotone.BOER.3","fungi.Ecotone.BOER.8","fungi.Ecotone.LATR.6","fungi.Grass.BOER.6","fungi.Grass.PLJA.2","fungi.Shrub.LATR.7","fungi.Shrub.LATR.5","fungi.Grass.BOER.5","fungi.Ecotone.LATR.2","fungi.Ecotone.LATR.3","fungi.Shrub.LATR.6","fungi.Ecotone.BOER.2","fungi.Ecotone.LATR.7","fungi.Ecotone.PLJA.7","fungi.Grass.BOGR.3","fungi.Shrub.LATR.2","fungi.Shrub.LATR.4","fungi.Ecotone.BOER.1","fungi.Ecotone.BOER.5","fungi.Grass.PLJA.7","fungi.Grass.BOER.2","fungi.Grass.BOGR.8","fungi.Grass.BOGR.6","fungi.Ecotone.BOER.6","fungi.Grass.PLJA.8","fungi.Grass.BOGR.2","fungi.Grass.BOER.8","fungi.Grass.PLJA.3","fungi.Shrub.LATR.1","fungi.Grass.BOER.3","fungi.Ecotone.LATR.1","fungi.Ecotone.PLJA.6","fungi.Ecotone.PLJA.2","fungi.Grass.BOER.1","fungi.Ecotone.PLJA.4","fungi.Grass.PLJA.4"
"1","OTU390",6.04617288,0,2.075283473,0,0,0,2.325986005,0,0,8.950701069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.549103276,4.276005778,2.7839874,0,8.939598223,0,0,0,7.64512447,0,6.322410001,3.034821384,0,3.14980771,0
"2","OTU4",3.57639363,0,3.153917208,0,0,0,2.325986005,2.620417184,0,0,2.58685192,2.508322536,2.340262344,2.791227248,2.958469417,0,2.744774742,3.058182919,2.398681599,4.806002214,2.466488087,3.193762448,3.399821419,3.088147767,2.360094401,0,2.914015136,4.851057781,3.211424472,2.840588477,2.928251753,3.501098791,0,3.072083444,3.366142608,0,2.832242309,3.018232371,0,2.91706069,0,4.141207911,3.370913853,0,3.571768222,0,3.357377384,3.653808908,0,0,2.889604284,0,3.034821384,0,2.856722168,3.148553876
"3","OTU4706",0,6.822509531,4.860041608,0,0,0,0,0,2.591670418,0,0,2.985304521,0,0,0,0,0,3.712320712,3.158941366,0,6.547858145,0,4.565826968,0,0,0,0,0,0,4.507303532,0,6.375282398,0,2.323402035,0,0,0,3.32037551,0,0,0,2.646548042,0,0,4.398163153,0,0,0,0,0,0,2.350999116,3.034821384,0,0,0
"4","OTU20",6.681663188,0,6.350833885,5.715049408,5.704090617,9.487722728,5.822575335,5.432476694,7.008239091,0,7.730141905,10.89232397,7.811848617,0,6.41226151,0,6.472068699,7.281392291,6.385875063,6.131629617,0,7.162367472,0,8.832183992,7.413854421,0,4.709824729,7.209273408,4.785544498,8.252379459,0,2.502174432,3.865493027,7.282757083,0,6.021916729,0,6.552759831,6.488059221,4.418290691,10.93429413,9.344157192,7.197621221,8.177549292,0,9.765417008,5.71502322,9.215452048,4.828936022,5.033583367,0,6.091885685,5.058581341,0,7.159511899,7.843176785
"5","OTU38",7.27634105,7.224948536,8.901715076,6.659343905,0,9.658731707,6.986763002,3.642771142,6.507111667,7.666533888,5.564635484,7.185532421,8.555228134,2.330774884,8.75122508,0,6.099122402,2.770031289,10.72186119,5.718283377,0,9.543903621,0,7.017752752,10.15250258,0,0,0,4.227681763,0,10.10948907,0,5.678830816,8.417786517,8.498448004,0,0,7.92985753,7.370165329,5.746094411,9.612311171,0,9.85418171,6.859084103,7.37236084,0,10.72998275,7.804101328,7.906402367,6.897335951,4.570304652,5.897688977,2.553508656,3.057445428,5.67605845,11.01078315
"6","OTU522",4.581300057,0,9.651458979,0,0,0,0,0,0,0,0,0,0,0,2.048389678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.273565567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","OTU253",6.503263265,4.864875321,4.544291221,7.301051173,6.18345519,4.689324682,5.870788497,2.620417184,0,0,0,6.117468234,0,0,4.741430818,0,6.654477646,6.776298901,0,7.271166473,6.972687074,5.586154311,5.282661171,5.981937423,3.330831483,4.452911619,4.601645096,7.867983902,6.80744859,0,0,5.471621121,5.332081227,0,7.951270509,5.987703838,7.02861155,0,7.043743387,3.433738662,6.702225068,7.5404145,6.054704155,6.058273905,6.49140541,0,5.083189457,6.175434954,7.226675446,7.163325932,10.36636662,7.211041355,6.482406359,0,6.104745199,0
"8","OTU8",2.565004248,2.799774199,2.075283473,0,9.492683447,15.14147276,2.325986005,0,3.076670799,4.069249307,10.62807617,3.285628502,2.801579009,3.080584253,2.483816605,0,14.24106049,0,0,2.678839159,2.466488087,12.09316163,0,2.602132466,0,2.645475258,3.210348311,6.129815696,0,2.840588477,2.928251753,4.495294438,0,2.323402035,0,3.429846936,0,11.86275394,3.738910829,7.850408914,2.821243559,2.646548042,4.453669657,11.90043371,17.34238112,0,18.34848919,10.96176208,2.695481347,2.795951699,8.251565735,0,3.562619316,3.057445428,2.39077057,10.24473948
"9","OTU2065",0,0,0,0,5.550284888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","OTU29",0,0,0,0,0,2.757984061,0,2.173999356,0,0,0,3.964668814,0,0,2.048389678,0,3.558981603,0,4.282984062,0,2.466488087,0,0,0,0,0,2.443189063,0,0,0,4.0101876,0,0,0,3.061625183,0,6.217188197,0,3.738910829,0,0,0,0,0,3.256875551,5.501256986,0,0,0,0,6.685911885,2.350999116,0,3.057445428,2.39077057,2.657177521
