"","Neg_Cohesion","Pos_Cohesion"
"fungi.Grass.BOGR.1",-0.0298975035347642,0.0764817464583684
"fungi.mock2",-0.0262556622890312,0.0233208902677904
"fungi.Ecotone.LATR.8",-0.0367379393800788,0.0982353112166826
"fungi.SPEGAR.PLJA.4B",-0.0396893589577461,0.0963012678223048
"fungi.SPEGAR.BOER.4A",-0.034142769306313,0.0962049055400549
"fungi.Ecotone.PLJA.8",-0.0366684374293972,0.0959019446447147
"fungi.Ecotone.PLJA.1",-0.0364414265817797,0.100426458207966
"fungi.SPEGAR.PLJA.3A",-0.0341797457647175,0.0975388733838809
"fungi.Grass.BOER.4",-0.0381957255560359,0.0884673645290938
"fungi.SPEGAR.ARPU.2A",-0.0327618118849884,0.0911298529097035
"fungi.SPEGAR.PLJA.2B",-0.0361562369092595,0.0924100177926287
"fungi.Grass.BOER.7",-0.03496385216469,0.0957697435080619
"fungi.SPEGAR.BOER.1A",-0.0394437365331865,0.0917887289828834
"fungi.SPEGAR.BOGR.3B",-0.0394209790167662,0.0991650140392867
"fungi.Ecotone.LATR.5",-0.0280521180796491,0.0819861880222248
"fungi.SPEGAR.BOER.2B",-0.0248899337071032,0.0603445038406282
"fungi.Grass.PLJA.6",-0.0415480957165031,0.0913824148915721
"fungi.Shrub.LATR.8",-0.0366626580232975,0.100693787683368
"fungi.SPEGAR.PLJA.1A",-0.0312295290234025,0.0748377187394882
"fungi.SPEGAR.BOER.4B",-0.0352800047677621,0.0998255605658519
"fungi.Grass.BOGR.7",-0.028143308008199,0.0787670967921313
"fungi.Ecotone.BOER.4",-0.0385123413139309,0.0985503448191476
"fungi.Ecotone.BOER.7",-0.0301195786400098,0.0779814371316397
"fungi.Ecotone.PLJA.5",-0.0334827311253092,0.0910694161449094
"fungi.Ecotone.LATR.4",-0.0254945332642809,0.0807255672980345
"fungi.SPEGAR.ARPU.1A",-0.0280460642980989,0.0849324277881195
"fungi.SPEGAR.BOGR.2B",-0.0325553725973618,0.0898571794238834
"fungi.SPEGAR.BOGR.1B",-0.0308040206735981,0.0972474926832118
"fungi.SPEGAR.ARPU.1B",-0.0336307467901847,0.0983734396448532
"fungi.Grass.PLJA.5",-0.0295908955954873,0.0799626077718935
"fungi.Grass.PLJA.1",-0.0276327187335063,0.0901702334546341
"fungi.Grass.BOGR.4",-0.035552286300866,0.0890620962872799
"fungi.SPEGAR.ARPU.4A",-0.0395846612461456,0.0945940585952807
"fungi.Ecotone.PLJA.3",-0.0362661924253879,0.103950350066639
"fungi.Shrub.LATR.3",-0.040174943121602,0.105441566457496
"fungi.Grass.BOGR.5",-0.0289408759885862,0.0780935627056108
"fungi.SPEGAR.PLJA.4A",-0.0442856443901221,0.097016326236957
"fungi.SPEGAR.BOER.2A",-0.038526896441542,0.101992151704135
"fungi.Ecotone.BOER.3",-0.0439002668202102,0.106834731596685
"fungi.Ecotone.BOER.8",-0.0408010555431944,0.100445816008003
"fungi.Ecotone.LATR.6",-0.0340295182757706,0.0908820623350225
"fungi.Grass.BOER.6",-0.0307815398821974,0.084373311885365
"fungi.Grass.PLJA.2",-0.0272762183131739,0.0776713048986448
"fungi.Shrub.LATR.7",-0.0379318803032201,0.103415660643722
"fungi.Shrub.LATR.5",-0.0200671145739421,0.0550121179409144
"fungi.SPEGAR.ARPU.3B",-0.0380460762468471,0.103504305680454
"fungi.SPEGAR.BOER.1B",-0.0347502822666355,0.100674899413113
"fungi.Grass.BOER.5",-0.0319049852135517,0.0823208345691452
"fungi.Ecotone.LATR.2",-0.034317013040479,0.0833586512633435
"fungi.SPEGAR.BOGR.4B",-0.036361455799472,0.0991051405221345
"fungi.Ecotone.LATR.3",-0.0361336538287429,0.0926585128523146
"fungi.SPEGAR.ARPU.2B",-0.0306541914734099,0.0932565828872424
"fungi.Shrub.LATR.6",-0.0316638515368676,0.101703439485062
"fungi.Ecotone.BOER.2",-0.0310382038002426,0.0918233366486766
"fungi.Ecotone.LATR.7",-0.034412584379656,0.0915089042585129
"fungi.Ecotone.PLJA.7",-0.0399705807619529,0.100561831067544
"fungi.SPEGAR.ARPU.4B",-0.0329231014159698,0.0979675063992543
"fungi.SPEGAR.BOGR.3A",-0.0419464418590729,0.10635662740458
"fungi.SPEGAR.PLJA.3B",-0.0429092659015884,0.10427397232635
"fungi.Grass.BOGR.3",-0.0317289976316795,0.082370716961489
"fungi.Shurb.LATR.2",-0.0318570432413366,0.0931802953464214
"fungi.SPEGAR.PLJA.2A",-0.0412410129494046,0.103523112194611
"fungi.Shrub.LATR.4",-0.0336860673027237,0.0945967767611976
"fungi.Ecotone.BOER.1",-0.036319543325637,0.089689615355104
"fungi.Ecotone.BOER.5",-0.0401121546350974,0.0908265791845666
"fungi.Grass.PLJA.7",-0.0250125132780995,0.0708834924989273
"fungi.SPEGAR.BOER.3B",-0.0268500740537703,0.088645571907082
"fungi.Grass.BOER.2",-0.037978829894402,0.097886831104809
"fungi.SPEGAR.BOGR.2A",-0.0369189135933833,0.103143098147906
"fungi.Grass.BOGR.8",-0.0365698217769117,0.10850199470683
"fungi.Grass.BOGR.6",-0.0314750034362062,0.084590820188805
"fungi.Ecotone.BOER.6",-0.0357564543601163,0.0970879061582499
"fungi.Grass.PLJA.8",-0.0372842166065424,0.0848591685550125
"fungi.SPEGAR.PLJA.1B",-0.0362897838148847,0.0938425285099904
"fungi.Grass.BOGR.2",-0.0349674945589779,0.0832488732310815
"fungi.mock1",-0.0261397570705931,0.0230045628189332
"fungi.Grass.BOER.8",-0.0359505988505316,0.0896325920646767
"fungi.Grass.PLJA.3",-0.0361499293520018,0.0928515110577865
"fungi.SPEGAR.BOGR.4A",-0.0487815610105369,0.107962621580341
"fungi.Shrub.LATR.1",-0.0365259668203348,0.0980728201330146
"fungi.SPEGAR.BOGR.1A",-0.0323250621384518,0.0970959678878635
"fungi.Grass.BOER.3",-0.0277933452780336,0.067113897456415
"fungi.Ecotone.LATR.1",-0.0321450664993898,0.0895203148526146
"fungi.Ecotone.PLJA.6",-0.02884661277813,0.0740761643618995
"fungi.Ecotone.PLJA.2",-0.0359110916043977,0.0996651034322217
"fungi.Grass.BOER.1",-0.0347462599954812,0.0870731847580308
"fungi.SPEGAR.BOER.3A",-0.0316880076443803,0.0913509536572763
"fungi.Ecotone.PLJA.4",-0.0364864617962792,0.0942906476464246
"fungi.Grass.PLJA.4",-0.0400606767690883,0.0890162892441838
"fungi.SPEGAR.ARPU.3A",-0.0410430531045261,0.107215148126129
